case,metric,row_count,total_work,min,mean,p50,p90,p95,p99,max,max_over_mean,p95_over_mean
Base_Eastern_Interconnect_515GW,ybus_all_rows,78478,294392,2,3.751267871,4,5,6,8,16,4.265224598,1.599459224
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,78477,294385,2,3.751226474,4,5,6,8,16,4.265271668,1.599476876
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,154916,1143804,2,7.383381962,7,10,12,14,32,4.334057234,1.625271463
Base_Florida_42GW,ybus_all_rows,5658,21384,2,3.779427359,4,5,6,8,16,4.233445567,1.587542088
Base_Florida_42GW,ybus_active_pvpq_rows,5657,21377,2,3.778858052,4,5,6,8,16,4.234083361,1.58778126
Base_Florida_42GW,jacobian_csr_rows,11210,83806,3,7.476003568,8,10,12,16,32,4.280361788,1.60513567
Base_MIOHIN_76GW,ybus_all_rows,10189,39589,2,3.885464717,4,5,6,7,16,4.117911541,1.544216828
Base_MIOHIN_76GW,ybus_active_pvpq_rows,10188,39584,2,3.88535532,4,5,6,7,16,4.118027486,1.544260307
Base_MIOHIN_76GW,jacobian_csr_rows,20186,155152,2,7.686119092,8,10,12,14,32,4.16334949,1.561256059
Base_Texas_66GW,ybus_all_rows,7336,27174,2,3.704198473,4,5,6,7,12,3.239567233,1.619783617
Base_Texas_66GW,ybus_active_pvpq_rows,7335,27167,2,3.703749148,4,5,6,7,12,3.239960246,1.619980123
Base_Texas_66GW,jacobian_csr_rows,14431,104763,2,7.259580071,6,10,12,14,24,3.305976347,1.652988173
Base_West_Interconnect_121GW,ybus_all_rows,20758,78550,2,3.784083245,4,5,6,8,30,7.927943985,1.585588797
Base_West_Interconnect_121GW,ybus_active_pvpq_rows,20757,78546,2,3.784072843,4,5,6,8,30,7.927965778,1.585593156
Base_West_Interconnect_121GW,jacobian_csr_rows,40748,302486,2,7.423333661,7,10,12,15,59,7.947911639,1.616524401
MemphisCase2026_Mar7,ybus_all_rows,993,3669,2,3.694864048,3,5,7,10,28,7.578086672,1.894521668
MemphisCase2026_Mar7,ybus_active_pvpq_rows,992,3667,2,3.696572581,3,5,7,10,28,7.574584129,1.893646032
MemphisCase2026_Mar7,jacobian_csr_rows,1797,13355,3,7.431830829,6,10,12,16,33,4.440359416,1.614676151
Texas7k_20220923,ybus_all_rows,6717,24009,2,3.574363555,3,5,6,8,21,5.875171811,1.678620517
Texas7k_20220923,ybus_active_pvpq_rows,6716,24007,2,3.574597975,3,5,6,8,21,5.874786521,1.678510434
Texas7k_20220923,jacobian_csr_rows,12843,91901,3,7.155726855,6,10,12,14,26,3.63345339,1.676978488
case_ACTIVSg200,ybus_all_rows,200,690,2,3.45,3,6,7,9,12,3.47826087,2.028985507
case_ACTIVSg200,ybus_active_pvpq_rows,199,688,2,3.457286432,3,6,7,11,12,3.470930233,2.024709302
case_ACTIVSg200,jacobian_csr_rows,361,2489,3,6.894736842,6,11,12,17,20,2.900763359,1.740458015
case_ACTIVSg2000,ybus_all_rows,2000,7334,2,3.667,3,5,6,11,17,4.635942187,1.63621489
case_ACTIVSg2000,ybus_active_pvpq_rows,1999,7332,2,3.667833917,3,5,6,11,17,4.634888161,1.635842881
case_ACTIVSg2000,jacobian_csr_rows,3607,26345,3,7.303853618,7,10,12,17,21,2.875194534,1.642968305
case_ACTIVSg25k,ybus_all_rows,25000,85220,2,3.4088,3,5,6,8,18,5.280450598,1.760150199
case_ACTIVSg25k,ybus_active_pvpq_rows,24999,85217,2,3.408816353,3,5,6,8,18,5.280425267,1.760141756
case_ACTIVSg25k,jacobian_csr_rows,47246,318672,2,6.744951954,6,10,12,14,24,3.558216599,1.779108299
case_ACTIVSg500,ybus_all_rows,500,1668,2,3.336,2,6,7,9,15,4.496402878,2.098321343
case_ACTIVSg500,ybus_active_pvpq_rows,499,1666,2,3.338677355,2,6,7,10,15,4.492797119,2.096638655
case_ACTIVSg500,jacobian_csr_rows,943,6275,3,6.654294804,6,11,14,18,30,4.508366534,2.103904382
case_ACTIVSg70k,ybus_all_rows,70000,236636,2,3.380514286,3,5,6,7,17,5.028820636,1.774877871
case_ACTIVSg70k,ybus_active_pvpq_rows,69999,236634,2,3.380534008,3,5,6,7,17,5.028791298,1.774867517
case_ACTIVSg70k,jacobian_csr_rows,134104,900558,3,6.71537016,6,10,11,14,34,5.063012044,1.638033308
