case,mode,repeat,elapsed_ms,n_bus,n_pv,n_pq,ybus_nnz,jacobian_dim,jacobian_nnz
MemphisCase2026_Mar7,edge_atomic,0,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,1,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,2,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,3,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,4,0.007936,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,5,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,6,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,7,0.008000,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,8,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,9,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,10,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,11,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,12,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,13,0.007136,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,14,0.008032,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,15,0.007136,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,16,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,17,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,18,0.007264,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,19,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,20,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,21,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,22,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,23,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,24,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,25,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,26,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,27,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,28,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_atomic,29,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,0,0.009216,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,1,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,2,0.007232,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,3,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,4,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,5,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,6,0.008224,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,7,0.008096,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,8,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,9,0.007968,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,10,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,11,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,12,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,13,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,14,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,15,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,16,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,17,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,18,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,19,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,20,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,21,0.008160,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,22,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,23,0.008128,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,24,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,25,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,26,0.007968,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,27,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,28,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,29,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,0,0.009216,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,1,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,2,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,3,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,4,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,5,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,6,0.007936,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,7,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,8,0.008064,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,9,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,10,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,11,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,12,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,13,0.007168,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,14,0.007968,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,15,0.008192,993,187,805,3669,1797,13355
MemphisCase2026_Mar7,vertex,16,0.008192,993,187,805,3669,1797,13355
