case,mode,repeats,mean_ms,median_ms,stdev_ms,min_ms,p95_ms,max_ms,n_bus,ybus_nnz,jacobian_dim,jacobian_nnz
Base_Eastern_Interconnect_515GW,edge_atomic,30,0.05190293333333333,0.052224,0.0007001516551647107,0.050176,0.053248,0.053248,78478,294392,154916,1143804
Base_Eastern_Interconnect_515GW,edge_noatomic,30,0.04402986666666667,0.044032,0.00048573554131024256,0.043008,0.045056,0.045056,78478,294392,154916,1143804
Base_Eastern_Interconnect_515GW,vertex,30,0.11628906666666666,0.115712,0.0013683826580494864,0.114752,0.119808,0.121856,78478,294392,154916,1143804
Base_West_Interconnect_121GW,edge_atomic,30,0.017156266666666666,0.017328,0.0003860847622972977,0.016384,0.017408,0.017408,20758,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,30,0.012296533333333333,0.012288,0.00042551937703221574,0.011264,0.013312,0.013312,20758,78550,40748,302486
Base_West_Interconnect_121GW,vertex,30,0.031284266666666664,0.031504000000000004,0.0005549873520356479,0.03072,0.031744,0.032768,20758,78550,40748,302486
MemphisCase2026_Mar7,edge_atomic,30,0.007421866666666666,0.007168,0.0004294840315230978,0.007136,0.008192,0.008192,993,3669,1797,13355
MemphisCase2026_Mar7,edge_noatomic,30,0.0077984,0.008112000000000001,0.0005562372106239915,0.007168,0.008224,0.009216,993,3669,1797,13355
MemphisCase2026_Mar7,vertex,30,0.0079392,0.008192,0.000498182517446824,0.007168,0.008192,0.009216,993,3669,1797,13355
Texas7k_20220923,edge_atomic,30,0.009712,0.009408,0.000544859361797089,0.009216,0.010272,0.011136,6717,24009,12843,91901
Texas7k_20220923,edge_noatomic,30,0.008562133333333333,0.008192,0.00045236754459432543,0.008192,0.009216,0.009312,6717,24009,12843,91901
Texas7k_20220923,vertex,30,0.0154688,0.01536,0.0005832857228518101,0.014336,0.016384,0.017408,6717,24009,12843,91901
case_ACTIVSg25k,edge_atomic,30,0.017765333333333334,0.017408,0.00045589754848281855,0.01728,0.018432,0.018432,25000,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,30,0.012757333333333332,0.012288,0.0005685546911086115,0.012288,0.013312,0.014336,25000,85220,47246,318672
case_ACTIVSg25k,vertex,30,0.03577493333333333,0.03584,0.00039750800758217954,0.034816,0.036672,0.036864,25000,85220,47246,318672
