case,metric,row_length,count
Base_Eastern_Interconnect_515GW,ybus_all_rows,2,8094
Base_Eastern_Interconnect_515GW,ybus_all_rows,3,29068
Base_Eastern_Interconnect_515GW,ybus_all_rows,4,24827
Base_Eastern_Interconnect_515GW,ybus_all_rows,5,10674
Base_Eastern_Interconnect_515GW,ybus_all_rows,6,3800
Base_Eastern_Interconnect_515GW,ybus_all_rows,7,1227
Base_Eastern_Interconnect_515GW,ybus_all_rows,8,439
Base_Eastern_Interconnect_515GW,ybus_all_rows,9,200
Base_Eastern_Interconnect_515GW,ybus_all_rows,10,82
Base_Eastern_Interconnect_515GW,ybus_all_rows,11,35
Base_Eastern_Interconnect_515GW,ybus_all_rows,12,17
Base_Eastern_Interconnect_515GW,ybus_all_rows,13,7
Base_Eastern_Interconnect_515GW,ybus_all_rows,14,2
Base_Eastern_Interconnect_515GW,ybus_all_rows,15,3
Base_Eastern_Interconnect_515GW,ybus_all_rows,16,3
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,2,8094
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,3,29068
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,4,24827
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,5,10674
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,6,3800
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,7,1226
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,8,439
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,9,200
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,10,82
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,11,35
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,12,17
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,13,7
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,14,2
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,15,3
Base_Eastern_Interconnect_515GW,ybus_active_pvpq_rows,16,3
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,2,7
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,3,333
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,4,15912
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,5,3061
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,6,54941
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,7,4353
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,8,44670
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,9,2895
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,10,17763
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,11,1264
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,12,5934
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,13,457
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,14,1832
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,15,163
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,16,665
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,17,84
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,18,300
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,19,39
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,20,115
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,21,25
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,22,40
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,23,8
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,24,27
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,25,2
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,26,10
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,27,2
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,28,4
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,30,6
Base_Eastern_Interconnect_515GW,jacobian_csr_rows,32,4
Base_Florida_42GW,ybus_all_rows,2,689
Base_Florida_42GW,ybus_all_rows,3,1974
Base_Florida_42GW,ybus_all_rows,4,1700
Base_Florida_42GW,ybus_all_rows,5,814
Base_Florida_42GW,ybus_all_rows,6,290
Base_Florida_42GW,ybus_all_rows,7,110
Base_Florida_42GW,ybus_all_rows,8,47
Base_Florida_42GW,ybus_all_rows,9,22
Base_Florida_42GW,ybus_all_rows,10,8
Base_Florida_42GW,ybus_all_rows,11,2
Base_Florida_42GW,ybus_all_rows,12,1
Base_Florida_42GW,ybus_all_rows,16,1
Base_Florida_42GW,ybus_active_pvpq_rows,2,689
Base_Florida_42GW,ybus_active_pvpq_rows,3,1974
Base_Florida_42GW,ybus_active_pvpq_rows,4,1700
Base_Florida_42GW,ybus_active_pvpq_rows,5,814
Base_Florida_42GW,ybus_active_pvpq_rows,6,290
Base_Florida_42GW,ybus_active_pvpq_rows,7,109
Base_Florida_42GW,ybus_active_pvpq_rows,8,47
Base_Florida_42GW,ybus_active_pvpq_rows,9,22
Base_Florida_42GW,ybus_active_pvpq_rows,10,8
Base_Florida_42GW,ybus_active_pvpq_rows,11,2
Base_Florida_42GW,ybus_active_pvpq_rows,12,1
Base_Florida_42GW,ybus_active_pvpq_rows,16,1
Base_Florida_42GW,jacobian_csr_rows,3,24
Base_Florida_42GW,jacobian_csr_rows,4,1348
Base_Florida_42GW,jacobian_csr_rows,5,152
Base_Florida_42GW,jacobian_csr_rows,6,3791
Base_Florida_42GW,jacobian_csr_rows,7,202
Base_Florida_42GW,jacobian_csr_rows,8,3168
Base_Florida_42GW,jacobian_csr_rows,9,207
Base_Florida_42GW,jacobian_csr_rows,10,1389
Base_Florida_42GW,jacobian_csr_rows,11,58
Base_Florida_42GW,jacobian_csr_rows,12,500
Base_Florida_42GW,jacobian_csr_rows,13,30
Base_Florida_42GW,jacobian_csr_rows,14,180
Base_Florida_42GW,jacobian_csr_rows,15,5
Base_Florida_42GW,jacobian_csr_rows,16,88
Base_Florida_42GW,jacobian_csr_rows,17,8
Base_Florida_42GW,jacobian_csr_rows,18,38
Base_Florida_42GW,jacobian_csr_rows,19,4
Base_Florida_42GW,jacobian_csr_rows,20,10
Base_Florida_42GW,jacobian_csr_rows,21,2
Base_Florida_42GW,jacobian_csr_rows,22,2
Base_Florida_42GW,jacobian_csr_rows,24,2
Base_Florida_42GW,jacobian_csr_rows,32,2
Base_MIOHIN_76GW,ybus_all_rows,2,638
Base_MIOHIN_76GW,ybus_all_rows,3,3502
Base_MIOHIN_76GW,ybus_all_rows,4,3661
Base_MIOHIN_76GW,ybus_all_rows,5,1587
Base_MIOHIN_76GW,ybus_all_rows,6,554
Base_MIOHIN_76GW,ybus_all_rows,7,156
Base_MIOHIN_76GW,ybus_all_rows,8,51
Base_MIOHIN_76GW,ybus_all_rows,9,21
Base_MIOHIN_76GW,ybus_all_rows,10,9
Base_MIOHIN_76GW,ybus_all_rows,11,5
Base_MIOHIN_76GW,ybus_all_rows,12,2
Base_MIOHIN_76GW,ybus_all_rows,15,2
Base_MIOHIN_76GW,ybus_all_rows,16,1
Base_MIOHIN_76GW,ybus_active_pvpq_rows,2,638
Base_MIOHIN_76GW,ybus_active_pvpq_rows,3,3502
Base_MIOHIN_76GW,ybus_active_pvpq_rows,4,3661
Base_MIOHIN_76GW,ybus_active_pvpq_rows,5,1586
Base_MIOHIN_76GW,ybus_active_pvpq_rows,6,554
Base_MIOHIN_76GW,ybus_active_pvpq_rows,7,156
Base_MIOHIN_76GW,ybus_active_pvpq_rows,8,51
Base_MIOHIN_76GW,ybus_active_pvpq_rows,9,21
Base_MIOHIN_76GW,ybus_active_pvpq_rows,10,9
Base_MIOHIN_76GW,ybus_active_pvpq_rows,11,5
Base_MIOHIN_76GW,ybus_active_pvpq_rows,12,2
Base_MIOHIN_76GW,ybus_active_pvpq_rows,15,2
Base_MIOHIN_76GW,ybus_active_pvpq_rows,16,1
Base_MIOHIN_76GW,jacobian_csr_rows,2,1
Base_MIOHIN_76GW,jacobian_csr_rows,3,32
Base_MIOHIN_76GW,jacobian_csr_rows,4,1246
Base_MIOHIN_76GW,jacobian_csr_rows,5,277
Base_MIOHIN_76GW,jacobian_csr_rows,6,6715
Base_MIOHIN_76GW,jacobian_csr_rows,7,455
Base_MIOHIN_76GW,jacobian_csr_rows,8,6802
Base_MIOHIN_76GW,jacobian_csr_rows,9,278
Base_MIOHIN_76GW,jacobian_csr_rows,10,2831
Base_MIOHIN_76GW,jacobian_csr_rows,11,130
Base_MIOHIN_76GW,jacobian_csr_rows,12,955
Base_MIOHIN_76GW,jacobian_csr_rows,13,52
Base_MIOHIN_76GW,jacobian_csr_rows,14,240
Base_MIOHIN_76GW,jacobian_csr_rows,15,17
Base_MIOHIN_76GW,jacobian_csr_rows,16,76
Base_MIOHIN_76GW,jacobian_csr_rows,17,7
Base_MIOHIN_76GW,jacobian_csr_rows,18,34
Base_MIOHIN_76GW,jacobian_csr_rows,20,18
Base_MIOHIN_76GW,jacobian_csr_rows,22,10
Base_MIOHIN_76GW,jacobian_csr_rows,24,4
Base_MIOHIN_76GW,jacobian_csr_rows,27,2
Base_MIOHIN_76GW,jacobian_csr_rows,30,2
Base_MIOHIN_76GW,jacobian_csr_rows,32,2
Base_Texas_66GW,ybus_all_rows,2,872
Base_Texas_66GW,ybus_all_rows,3,2782
Base_Texas_66GW,ybus_all_rows,4,2158
Base_Texas_66GW,ybus_all_rows,5,998
Base_Texas_66GW,ybus_all_rows,6,335
Base_Texas_66GW,ybus_all_rows,7,119
Base_Texas_66GW,ybus_all_rows,8,43
Base_Texas_66GW,ybus_all_rows,9,19
Base_Texas_66GW,ybus_all_rows,10,7
Base_Texas_66GW,ybus_all_rows,11,2
Base_Texas_66GW,ybus_all_rows,12,1
Base_Texas_66GW,ybus_active_pvpq_rows,2,872
Base_Texas_66GW,ybus_active_pvpq_rows,3,2782
Base_Texas_66GW,ybus_active_pvpq_rows,4,2158
