run,case_name,iter,norm_f_inf,linear_relres,actual_ratio,model_error_ratio,dx_inf,npivots_total,factorization_phase,dim,nnz
baseline,Base_Eastern_Interconnect_515GW,0,513.7004578783666,3.5118352871943896e-05,0.030630301683954635,0.030630134831660296,2.2444233894348145,0,factorization,154916,1143804
baseline,Base_Eastern_Interconnect_515GW,1,15.734812917993157,0.0011395577124913127,0.05866901658197405,0.05866899156756797,2.064105987548828,0,refactorization,154916,1143804
baseline,Base_Eastern_Interconnect_515GW,2,0.9231460805251169,0.001551757123830286,0.03162489731136943,0.03162312455835176,0.1540835201740265,0,refactorization,154916,1143804
baseline,Base_Eastern_Interconnect_515GW,3,0.029194443138298765,0.00047820385593087155,0.0005503102054008285,0.00036831224863796404,0.0015613081632182002,0,refactorization,154916,1143804
baseline,Base_Eastern_Interconnect_515GW,4,1.6066027260563942e-05,0.00034521669139815793,0.00035101210202988594,9.734578278968404e-05,3.3425530432396044e-07,0,refactorization,154916,1143804
baseline,Base_West_Interconnect_121GW,0,32.04897054512763,8.130468472160526e-06,0.015374191171170356,0.015374199916256244,0.08537151664495468,0,factorization,40748,302486
baseline,Base_West_Interconnect_121GW,1,0.4927273610468265,0.0008043803944834299,0.011726647344536002,0.011726881532870407,0.0812065452337265,0,refactorization,40748,302486
baseline,Base_West_Interconnect_121GW,2,0.005778037592238716,0.0005758791178108497,0.0006353402762437987,0.0004612879299331985,0.0007134812185540795,0,refactorization,40748,302486
baseline,Base_West_Interconnect_121GW,3,3.6710169352790654e-06,0.001979957429213505,0.002082431145041521,0.0006813779516955158,2.821588793722185e-07,0,refactorization,40748,302486
baseline,MemphisCase2026_Mar7,0,0.007337825467303612,3.0982118101889646e-07,2.133629379679576e-05,2.1444752631575383e-05,6.0843372921226546e-05,0,factorization,1797,13355
baseline,MemphisCase2026_Mar7,1,1.5656158876599663e-07,3.7062738752380016e-06,3.017994411810811e-05,3.0015364796940688e-05,2.8300668475367274e-09,0,refactorization,1797,13355
baseline,Texas7k_20220923,0,1.832828279609761,5.10523485992374e-07,0.00852502123293667,0.008525011087196228,0.015809237957000732,0,factorization,12843,91901
baseline,Texas7k_20220923,1,0.015624866648279265,1.785651286911036e-05,0.0002635804895303572,0.0002637749289498024,0.0002544450107961893,0,refactorization,12843,91901
baseline,Texas7k_20220923,2,4.118408428108178e-06,5.2522628752706565e-06,4.478841844365877e-06,2.6707698354853603e-06,6.810668651269225e-08,0,refactorization,12843,91901
baseline,case_ACTIVSg25k,0,45.779450051458475,7.740859057381236e-06,0.06783414821517861,0.06783416088813557,0.24575042724609375,0,factorization,47246,318672
baseline,case_ACTIVSg25k,1,3.105413432092654,0.00013476025780011282,0.01920629935570539,0.019206047888061198,0.24736253917217255,0,refactorization,47246,318672
baseline,case_ACTIVSg25k,2,0.05964350158522328,9.273330532375527e-05,0.0003030338514611598,0.00030315601883574943,0.00408697035163641,0,refactorization,47246,318672
baseline,case_ACTIVSg25k,3,1.807398289474209e-05,0.0001189313015746404,0.00010498737389820228,3.311671829534179e-05,7.636387636011932e-06,0,refactorization,47246,318672
