case_name,iter,f_inf,f_l2
Base_Eastern_Interconnect_515GW,0,513.7,898.5336450912196
Base_Eastern_Interconnect_515GW,1,15.7348,28.851816681890043
Base_Eastern_Interconnect_515GW,2,0.923146,3.254124671032097
Base_Eastern_Interconnect_515GW,3,0.0291944,0.06329870863584407
Base_Eastern_Interconnect_515GW,4,1.6066e-05,4.79328926212529e-05
Base_Eastern_Interconnect_515GW,5,5.63937e-09,7.560260962918785e-09
Base_West_Interconnect_121GW,0,32.049,67.67026707603644
Base_West_Interconnect_121GW,1,0.492727,0.7511262777321737
Base_West_Interconnect_121GW,2,0.00577804,0.010431186259126108
Base_West_Interconnect_121GW,3,3.67102e-06,6.463530123735684e-06
Base_West_Interconnect_121GW,4,7.64464e-09,9.116604276310043e-09
MemphisCase2026_Mar7,0,0.00733783,0.012041332081654938
MemphisCase2026_Mar7,1,1.56562e-07,2.0140411578956527e-07
MemphisCase2026_Mar7,2,4.72502e-12,5.816317531355231e-12
Texas7k_20220923,0,1.83283,2.5750456798564443
Texas7k_20220923,1,0.0156249,0.02565679718304976
Texas7k_20220923,2,4.11841e-06,5.460430350185278e-06
Texas7k_20220923,3,1.84457e-11,3.1418763127221234e-11
case_ACTIVSg25k,0,45.7795,213.05531088628828
case_ACTIVSg25k,1,3.10541,6.394132021755176
case_ACTIVSg25k,2,0.0596435,0.08745741805806777
case_ACTIVSg25k,3,1.8074e-05,4.323568240557635e-05
case_ACTIVSg25k,4,1.89754e-09,6.500905592224116e-09
