case_name,from_iter,to_iter,pair,pair_kind,from_phase,to_phase,from_jacobian_age,to_jacobian_age,dx_from_inf,dx_to_inf,dx_to_over_from_inf,dx_delta_inf,dx_delta_over_from_inf,dx_from_l2,dx_to_l2,dx_to_over_from_l2,dx_delta_l2,dx_delta_l2_over_from_l2,dx_cosine,max_delta_index,dx_from_at_max_delta,dx_to_at_max_delta,dx_delta_at_max_delta
Base_Eastern_Interconnect_515GW,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,2.24502,0.386222,0.17203499300674382,1.864424,0.8304709980311981,482.8451803746563,88.46843092681297,0.18322318317057085,394.66000626694637,0.8173634579115318,0.997383917792337,3812,2.242,0.377576,-1.864424
Base_Eastern_Interconnect_515GW,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,2.59495,0.00678848,0.00261603499104029,2.58828609,0.9974319697874718,561.631933357814,1.7504735947206853,0.003116762938060119,559.9019777251953,0.9969197698174391,0.9883149409830647,3792,-2.59495,-0.00666391,2.58828609
Base_Eastern_Interconnect_515GW,2,4,"2,4",fresh_to_fresh_next_cycle,refactorization,refactorization,0,0,0.386222,0.000294545,0.0007626313363816665,0.38592745500000003,0.9992373686636183,88.46843092681297,0.07857823504917366,0.0008882064961023085,88.39052357815163,0.9991193768461227,0.9914697365455767,5903,0.386222,0.000294545,-0.38592745500000003
Base_Eastern_Interconnect_515GW,3,5,"3,5",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.00678848,1.52911e-07,2.2525071886490056e-05,0.006788356927000001,0.9999818703155935,1.7504735947206853,2.4054246581947244e-05,1.3741564942478018e-05,1.7504514976860994,0.9999873765393248,0.9186344827600561,5903,-0.00678848,-1.23073e-07,0.006788356927000001
Base_West_Interconnect_121GW,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.0853712,0.00224803,0.02633241655265476,0.08761922999999999,1.0263324165526548,4.975343295120361,0.06684298563352963,0.01343484894782775,4.914598269833494,0.9877907871510206,0.9099416033912086,663,0.0853712,-0.00224803,-0.08761922999999999
Base_West_Interconnect_121GW,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.079608,1.56656e-06,1.9678424278966937e-05,0.07960664953,0.9999830360014069,4.734662847260996,8.63396695901485e-05,1.8235653176465573e-05,4.734576637188013,0.9999817917187002,0.9984990193557941,663,-0.079608,-1.35047e-06,0.07960664953
Texas7k_20220923,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.0158092,8.48975e-06,0.0005370132581028768,0.01580071025,0.9994629867418972,0.16076041952439357,0.0004449847158359434,0.00276799921991011,0.16048522855237277,0.9982881920012715,0.6192826041748426,7969,0.0158092,8.48975e-06,-0.01580071025
case_ACTIVSg25k,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.24575,0.0247719,0.10080122075279756,0.2250487,0.9157627670396744,10.431688312567912,0.6942438005111188,0.06655143249196836,9.743790315263276,0.9340568873711583,0.9914649420744726,6178,0.24575,0.0207013,-0.2250487
case_ACTIVSg25k,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.269701,0.00010463,0.0003879481351570814,0.2696909033,0.9999625633571992,11.062596345571754,0.002205289548884492,0.00019934647165963419,11.06043214093986,0.999804367386797,0.9813735102624687,6178,-0.269701,-1.00967e-05,0.2696909033
case_ACTIVSg25k,2,4,"2,4",fresh_to_fresh_next_cycle,refactorization,refactorization,0,0,0.0247719,1.28387e-06,5.18276757132073e-05,0.02477061613,0.9999481723242868,0.6942438005111188,1.6900228514575857e-05,2.434336252211904e-05,0.6942275473200904,0.9999765886407391,0.9617151901767861,1219,0.0247719,1.28387e-06,-0.02477061613
