case_name,from_iter,to_iter,pair,pair_kind,from_phase,to_phase,from_jacobian_age,to_jacobian_age,dx_from_inf,dx_to_inf,dx_to_over_from_inf,dx_delta_inf,dx_delta_over_from_inf,dx_from_l2,dx_to_l2,dx_to_over_from_l2,dx_delta_l2,dx_delta_l2_over_from_l2,dx_cosine,max_delta_index,dx_from_at_max_delta,dx_to_at_max_delta,dx_delta_at_max_delta
Base_Eastern_Interconnect_515GW,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,2.24502,0.386222,0.17203499300674382,1.864424,0.8304709980311981,482.8451803746563,88.46843092681297,0.18322318317057085,394.66000626694637,0.8173634579115318,0.997383917792337,3812,2.242,0.377576,-1.864424
Base_Eastern_Interconnect_515GW,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,2.59495,0.386222,0.14883600840093258,2.975923,1.1468132333956338,561.631933357814,88.46843092681297,0.15752030052473887,649.9717507674942,1.1572913008730208,-0.9983173881437232,3792,-2.59495,0.380973,2.975923
Base_Eastern_Interconnect_515GW,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,2.59495,0.00678848,0.00261603499104029,2.58828609,0.9974319697874718,561.631933357814,1.7504735947206853,0.003116762938060119,559.9019777251953,0.9969197698174391,0.9883149409830647,3792,-2.59495,-0.00666391,2.58828609
Base_Eastern_Interconnect_515GW,2,4,"2,4",fresh_to_fresh_next_cycle,refactorization,refactorization,0,0,0.386222,0.000294545,0.0007626313363816665,0.38592745500000003,0.9992373686636183,88.46843092681297,0.07857823504917366,0.0008882064961023085,88.39052357815163,0.9991193768461227,0.9914697365455767,5903,0.386222,0.000294545,-0.38592745500000003
Base_Eastern_Interconnect_515GW,3,4,"3,4",stale_to_next_fresh,solve_only,refactorization,1,0,0.00678848,0.000294545,0.04338894715753747,0.007083025000000001,1.0433889471575375,1.7504735947206853,0.07857823504917366,0.04488970029948496,1.8289978422098712,1.044858858611755,-0.9992821140258338,5873,-0.00678848,0.000294545,0.007083025000000001
Base_Eastern_Interconnect_515GW,3,5,"3,5",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.00678848,1.52911e-07,2.2525071886490056e-05,0.006788356927000001,0.9999818703155935,1.7504735947206853,2.4054246581947244e-05,1.3741564942478018e-05,1.7504514976860994,0.9999873765393248,0.9186344827600561,5903,-0.00678848,-1.23073e-07,0.006788356927000001
Base_West_Interconnect_121GW,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.0853712,0.00224803,0.02633241655265476,0.08761922999999999,1.0263324165526548,4.975343295120361,0.06684298563352963,0.01343484894782775,4.914598269833494,0.9877907871510206,0.9099416033912086,663,0.0853712,-0.00224803,-0.08761922999999999
Base_West_Interconnect_121GW,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.079608,0.00224803,0.028238744849763842,0.07735997,0.9717612551502361,4.734662847260996,0.06684298563352963,0.01411779207725389,4.795371082702487,1.0128220820362344,-0.9069852306549588,663,-0.079608,-0.00224803,0.07735997
Base_West_Interconnect_121GW,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.079608,1.56656e-06,1.9678424278966937e-05,0.07960664953,0.9999830360014069,4.734662847260996,8.63396695901485e-05,1.8235653176465573e-05,4.734576637188013,0.9999817917187002,0.9984990193557941,663,-0.079608,-1.35047e-06,0.07960664953
Texas7k_20220923,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.0158092,8.48975e-06,0.0005370132581028768,0.01580071025,0.9994629867418972,0.16076041952439357,0.0004449847158359434,0.00276799921991011,0.16048522855237277,0.9982881920012715,0.6192826041748426,7969,0.0158092,8.48975e-06,-0.01580071025
Texas7k_20220923,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.000263007,8.48975e-06,0.03227955909918747,0.00027149675,1.0322795590991876,0.018391418537860752,0.0004449847158359434,0.024195236214101353,0.018836153379938034,1.02418164978203,-0.999424884031535,7969,-0.000263007,8.48975e-06,0.00027149675
case_ACTIVSg25k,0,2,"0,2",fresh_to_fresh_next_cycle,factorization,refactorization,0,0,0.24575,0.0247719,0.10080122075279756,0.2250487,0.9157627670396744,10.431688312567912,0.6942438005111188,0.06655143249196836,9.743790315263276,0.9340568873711583,0.9914649420744726,6178,0.24575,0.0207013,-0.2250487
case_ACTIVSg25k,1,2,"1,2",stale_to_next_fresh,solve_only,refactorization,1,0,0.269701,0.0247719,0.09184949258623437,0.2904023,1.0767564821784124,11.062596345571754,0.6942438005111188,0.06275595518668795,11.75404028278367,1.0625028624034263,-0.9957144491890944,6178,-0.269701,0.0207013,0.2904023
case_ACTIVSg25k,1,3,"1,3",stale_to_stale_next_cycle,solve_only,solve_only,1,1,0.269701,0.00010463,0.0003879481351570814,0.2696909033,0.9999625633571992,11.062596345571754,0.002205289548884492,0.00019934647165963419,11.06043214093986,0.999804367386797,0.9813735102624687,6178,-0.269701,-1.00967e-05,0.2696909033
case_ACTIVSg25k,2,4,"2,4",fresh_to_fresh_next_cycle,refactorization,refactorization,0,0,0.0247719,1.28387e-06,5.18276757132073e-05,0.02477061613,0.9999481723242868,0.6942438005111188,1.6900228514575857e-05,2.434336252211904e-05,0.6942275473200904,0.9999765886407391,0.9617151901767861,1219,0.0247719,1.28387e-06,-0.02477061613
case_ACTIVSg25k,3,4,"3,4",stale_to_next_fresh,solve_only,refactorization,1,0,0.00010463,1.28387e-06,0.012270572493548694,0.00010587516000000001,1.0119006021217625,0.002205289548884492,1.6900228514575857e-05,0.0076634963980691554,0.002221934936882911,1.007547937642401,-0.9848061959186298,540,-0.00010463,1.24516e-06,0.00010587516000000001
