algorithm,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs_used,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
standard,0.217872,0.20488933333333334,0.203367,0.192688,0.009758084174160417,cuda,Base_Eastern_Interconnect_515GW,mixed,0.260731,0.24629222222222222,0.24534,0.231077,0.011135475829278443,7.831011755721e-09,cuda_edge,6.666666666666667,edge_based,end2end,cuda_edge,9,0.04687,0.04140244444444444,0.042384,0.035925,0.0037372888271817823,cuda_mixed_edge,True
standard,0.049739,0.0338542,0.033345,0.023989,0.00842751406340499,cuda,Base_Florida_42GW,mixed,0.054029,0.0384681,0.0376585,0.028065,0.008414250206907592,4.163860783946e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.005968,0.0046137,0.0041945,0.004076,0.0007233086094084906,cuda_mixed_edge,True
standard,0.039161,0.0369568,0.0364775,0.036001,0.0010744760790471067,cuda,Base_MIOHIN_76GW,mixed,0.045467,0.0432924,0.0428015,0.042297,0.0010593369204889968,2.547273250258e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.006599,0.006335,0.0063035,0.006286,9.379765455489805e-05,cuda_mixed_edge,True
standard,0.028877,0.0275691,0.027265499999999998,0.026969,0.0006577085558546771,cuda,Base_Texas_66GW,mixed,0.033272,0.0319439,0.031672,0.03133,0.0006594965167122234,4.194600222718e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.004465,0.0043743,0.004364,0.004348,3.409480247127937e-05,cuda_mixed_edge,True
standard,0.061099,0.0579481,0.0574045,0.055023,0.002064130026589087,cuda,Base_West_Interconnect_121GW,mixed,0.070795,0.0672067,0.066963,0.064096,0.002424898075750356,5.217021280637e-09,cuda_edge,5.8,edge_based,end2end,cuda_edge,10,0.009695,0.009258,0.0095785,0.007852,0.0007334736229446535,cuda_mixed_edge,True
standard,0.019622,0.015025222222222223,0.014137,0.013649,0.0020727969496418227,cuda,MemphisCase2026_Mar7,mixed,0.020715,0.016125555555555556,0.015244,0.014734,0.002069124157168385,1.026759231447e-11,cuda_edge,3.0,edge_based,end2end,cuda_edge,9,0.001127,0.0011,0.0011,0.001084,1.3341664064126321e-05,cuda_mixed_edge,True
standard,0.027261,0.0263871,0.0263585,0.025622,0.0006986487672643531,cuda,Texas7k_20220923,mixed,0.030835,0.0299817,0.0299485,0.029208,0.0007055513289462207,1.632241824268e-10,cuda_edge,4.0,edge_based,end2end,cuda_edge,10,0.00366,0.0035938,0.0035865000000000003,0.003573,2.565930630395143e-05,cuda_mixed_edge,True
standard,0.011737,0.011273444444444444,0.011169,0.011131,0.00019453991307127102,cuda,case_ACTIVSg200,mixed,0.012337,0.01186311111111111,0.011757,0.011715,0.00019754837663496803,6.675526263781e-12,cuda_edge,3.0,edge_based,end2end,cuda_edge,9,0.000599,0.0005891111111111111,0.000588,0.000583,6.233868069755041e-06,cuda_mixed_edge,True
standard,0.016396,0.0161905,0.016184499999999997,0.015948,0.0001330499369195104,cuda,case_ACTIVSg2000,mixed,0.018614,0.01840975,0.018404999999999998,0.018158,0.0001391666524094656,6.198976671246e-09,cuda_edge,4.0,edge_based,end2end,cuda_edge,8,0.00224,0.002218875,0.0022175,0.002202,1.1813279452741728e-05,cuda_mixed_edge,True
standard,0.074966,0.0671996,0.066128,0.063214,0.004074872164320686,cuda,case_ACTIVSg25k,mixed,0.085565,0.0778732,0.076786,0.073826,0.004071321920184864,4.872614038206e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.011011,0.0106731,0.0106365,0.010599,0.00012260999596733977,cuda_mixed_edge,True
standard,0.013595,0.012466777777777778,0.012223,0.012048,0.0005337873588278803,cuda,case_ACTIVSg500,mixed,0.014631,0.013498555555555555,0.013249,0.013082,0.0005335243928610742,7.610759299567e-11,cuda_edge,4.0,edge_based,end2end,cuda_edge,9,0.001039,0.0010313333333333333,0.001032,0.001025,4.8218253804964506e-06,cuda_mixed_edge,True
standard,0.210138,0.1787671111111111,0.17301,0.161784,0.01791103706827472,cuda,case_ACTIVSg70k,mixed,0.253059,0.22407122222222223,0.222832,0.204722,0.017398404214020446,8.214188125112e-09,cuda_edge,7.111111111111111,edge_based,end2end,cuda_edge,9,0.055394,0.045303555555555555,0.042921,0.036604,0.008540288360341106,cuda_mixed_edge,True
modified,0.215236,0.1983128,0.1960845,0.183853,0.010500826113533483,cuda,Base_Eastern_Interconnect_515GW,mixed,0.248069,0.2279179,0.2256155,0.206928,0.013227496970326625,6.440973270953e-09,cuda_edge_modified,7.0,edge_based,end2end,cuda_edge_modified,10,0.032833,0.0296045,0.0317905,0.023074,0.0039064614920524795,cuda_mixed_edge_modified,True
modified,0.025556,0.02473477777777778,0.024331,0.023947,0.0006682504728351819,cuda,Base_Florida_42GW,mixed,0.029556,0.028701333333333332,0.028291,0.027879,0.0006744336512956628,1.916265757185e-11,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,9,0.004017,0.003966,0.003958,0.003932,2.6509432283623102e-05,cuda_mixed_edge_modified,True
modified,0.042627,0.037808555555555554,0.037024,0.036504,0.001947226496270471,cuda,Base_MIOHIN_76GW,mixed,0.048731,0.043936444444444445,0.043177,0.042628,0.0019389969127819088,2.599794044725e-10,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,9,0.006169,0.006127444444444444,0.006123,0.006102,2.1430767083279525e-05,cuda_mixed_edge_modified,True
modified,0.030205,0.028465888888888888,0.027888,0.027516,0.0010654486665771892,cuda,Base_Texas_66GW,mixed,0.03507,0.03341211111111111,0.032813,0.032386,0.0010990312148028874,1.484767864213e-11,cuda_edge_modified,6.0,edge_based,end2end,cuda_edge_modified,9,0.005353,0.0049455555555555555,0.0049,0.004864,0.00015409178361540818,cuda_mixed_edge_modified,True
modified,0.059794,0.057900625,0.058011999999999994,0.055826,0.001503140420918817,cuda,Base_West_Interconnect_121GW,mixed,0.067398,0.065528375,0.065664,0.063442,0.0015060330993801464,8.324193778719e-09,cuda_edge_modified,5.0,edge_based,end2end,cuda_edge_modified,8,0.00767,0.007627125,0.007624499999999999,0.007576,3.0483895045463698e-05,cuda_mixed_edge_modified,True
modified,0.015309,0.014030555555555555,0.013862,0.013641,0.0005042313732581281,cuda,MemphisCase2026_Mar7,mixed,0.01607,0.014800333333333334,0.014649,0.014413,0.0005021451483386056,7.256705336444e-12,cuda_edge_modified,3.0,edge_based,end2end,cuda_edge_modified,9,0.000786,0.0007693333333333333,0.000764,0.000761,9.759610647971575e-06,cuda_mixed_edge_modified,True
modified,0.026792,0.025563,0.025232,0.025094,0.0006250293993085442,cuda,Texas7k_20220923,mixed,0.029688,0.028388,0.028109,0.027791,0.0006103718129140627,9.473813037828e-09,cuda_edge_modified,4.777777777777778,edge_based,end2end,cuda_edge_modified,9,0.003073,0.0028246666666666667,0.002848,0.002538,0.00014821268501717392,cuda_mixed_edge_modified,True
