case_name,runs_used,outer_loop_count_mean,solve_count_mean,update_count_mean,mismatch_count_mean,solves_per_loop,updates_per_loop,mismatches_per_loop,jacobian_total_ms_mean,jacobian_count_mean,jacobian_per_loop_ms,jacobian_per_call_ms,linear_factorize_total_ms_mean,linear_factorize_count_mean,linear_factorize_per_loop_ms,linear_factorize_per_call_ms,linear_solve_total_ms_mean,linear_solve_count_mean,linear_solve_per_loop_ms,linear_solve_per_call_ms,voltage_update_total_ms_mean,voltage_update_count_mean,voltage_update_per_loop_ms,voltage_update_per_call_ms,mismatch_total_ms_mean,mismatch_per_loop_ms,mismatch_per_call_ms,accounted_per_loop_ms,jacobian_share_pct,linear_factorize_share_pct,linear_solve_share_pct,voltage_update_share_pct,mismatch_share_pct,cudss_factorization_per_loop_ms,cudss_refactorization_per_loop_ms,rhs_prepare_per_loop_ms,cudss_solve_per_loop_ms
Base_Eastern_Interconnect_515GW,7,3.0,6.0,6.0,7.0,2.0,2.0,2.3333333333333335,0.23685714285714285,3.0,0.07895238095238095,0.07895238095238095,9.984,3.0,3.328,3.328,7.9195714285714285,6.0,2.639857142857143,1.3199285714285716,0.328,6.0,0.10933333333333334,0.05466666666666667,2.369,0.7896666666666667,0.33842857142857147,6.945809523809524,1.1366908447710848,47.913781519518444,38.00647187067228,1.574090578766231,11.368965186271957,1.139142857142857,2.188476190476191,0.4929523809523809,2.0783809523809524
Base_Florida_42GW,8,3.0,5.0,5.0,6.0,1.6666666666666667,1.6666666666666667,2.0,0.049,3.0,0.01633333333333333,0.01633333333333333,1.50775,3.0,0.5025833333333333,0.5025833333333333,1.724625,5.0,0.574875,0.344925,0.10625000000000001,5.0,0.035416666666666666,0.02125,0.6785,0.22616666666666665,0.11308333333333333,1.3553749999999998,1.205078545298042,37.08075870761475,42.414460942543585,2.613052968120754,16.686648836422886,0.18991666666666665,0.31254166666666666,0.1754166666666667,0.39520833333333333
Base_MIOHIN_76GW,9,3.0,5.0,5.0,6.0,1.6666666666666667,1.6666666666666667,2.0,0.059666666666666666,3.0,0.01988888888888889,0.01988888888888889,2.3586666666666662,3.0,0.7862222222222222,0.7862222222222222,2.1563333333333334,5.0,0.7187777777777778,0.4312666666666667,0.1097777777777778,5.0,0.03659259259259259,0.021955555555555558,0.7461111111111112,0.24870370370370373,0.12435185185185187,1.8101851851851851,1.0987212276214835,43.43324808184143,39.7074168797954,2.0214833759590793,13.739130434782613,0.2831111111111111,0.503,0.16781481481481478,0.5438888888888889
Base_Texas_66GW,10,3.0,5.0,5.0,6.0,1.6666666666666667,1.6666666666666667,2.0,0.0504,3.0,0.0168,0.0168,1.8844,3.0,0.6281333333333334,0.6281333333333334,1.7425,5.0,0.5808333333333333,0.3485,0.1062,5.0,0.0354,0.02124,0.5358999999999999,0.17863333333333334,0.08931666666666667,1.4398,1.1668287262119739,43.626429596703254,40.34125109968977,2.4586748159466594,12.40681576144835,0.23106666666666667,0.397,0.11983333333333333,0.4557
Base_West_Interconnect_121GW,10,2.4,4.4,4.4,5.4,1.8333333333333335,1.8333333333333335,2.2500000000000004,0.0556,2.4,0.023166666666666665,0.023166666666666665,2.7312,2.4,1.1380000000000001,1.1380000000000001,2.2737,4.4,0.9473750000000001,0.5167499999999999,0.1288,4.4,0.05366666666666667,0.029272727272727266,0.5435,0.22645833333333332,0.10064814814814813,2.3886666666666665,0.969857661177784,47.64164108289144,39.66124755791237,2.246720625174435,9.480533072843986,0.5029583333333333,0.6349166666666668,0.12354166666666669,0.81
MemphisCase2026_Mar7,9,1.0,2.0,2.0,3.0,2.0,2.0,3.0,0.013111111111111112,1.0,0.013111111111111112,0.013111111111111112,0.3075555555555555,1.0,0.3075555555555555,0.3075555555555555,0.3075555555555555,2.0,0.3075555555555555,0.15377777777777776,0.04122222222222222,2.0,0.04122222222222222,0.02061111111111111,0.10555555555555556,0.10555555555555556,0.03518518518518518,0.775,1.691756272401434,39.68458781362006,39.68458781362006,5.318996415770609,13.620071684587815,0.30744444444444446,,0.04188888888888889,0.26255555555555554
Texas7k_20220923,10,2.0,3.8,3.8,4.8,1.9,1.9,2.4,0.0326,2.0,0.0163,0.0163,1.1779,2.0,0.58895,0.58895,1.1937,3.8,0.59685,0.31413157894736843,0.0795,3.8,0.03975,0.020921052631578948,0.3987,0.19935,0.08306250000000001,1.4412,1.1310019428254232,40.865251179572574,41.41340549542048,2.75811823480433,13.832223147377185,0.3186,0.27025,0.12290000000000001,0.4682
case_ACTIVSg200,8,1.0,2.0,2.0,3.0,2.0,2.0,3.0,0.013125,1.0,0.013125,0.013125,0.110375,1.0,0.110375,0.110375,0.18125000000000002,2.0,0.18125000000000002,0.09062500000000001,0.039875,2.0,0.039875,0.0199375,0.079125,0.079125,0.026375,0.42374999999999996,3.097345132743363,26.047197640117997,42.77286135693216,9.410029498525073,18.672566371681416,0.11025000000000001,,0.026875,0.152375
case_ACTIVSg2000,8,2.0,4.0,4.0,5.0,2.0,2.0,2.5,0.027,2.0,0.0135,0.0135,0.809,2.0,0.4045,0.4045,0.828375,4.0,0.4141875,0.20709375,0.084875,4.0,0.0424375,0.02121875,0.20975,0.104875,0.04195,0.9795000000000001,1.3782542113323122,41.2965798876978,42.28560490045941,4.33256763654926,10.706993363961201,0.22599999999999998,0.1784375,0.057374999999999995,0.353875
case_ACTIVSg25k,8,3.0,5.0,5.0,6.0,1.6666666666666667,1.6666666666666667,2.0,0.08125,3.0,0.02708333333333333,0.02708333333333333,3.560875,3.0,1.1869583333333333,1.1869583333333333,5.001,5.0,1.667,1.0002000000000002,0.15187499999999998,5.0,0.050624999999999996,0.030375,2.78625,0.92875,0.464375,3.8604166666666666,0.7015650296815974,30.74689692390718,43.18186724230977,1.3113869400971396,24.058283864004316,0.42554166666666665,0.7612083333333334,0.8105833333333333,0.8341249999999999
case_ACTIVSg500,10,2.0,4.0,4.0,5.0,2.0,2.0,2.5,0.0222,2.0,0.0111,0.0111,0.3186,2.0,0.1593,0.1593,0.3642,4.0,0.1821,0.09105,0.0803,4.0,0.04015,0.020075,0.12290000000000001,0.061450000000000005,0.02458,0.45410000000000006,2.444395507597445,35.08037877119577,40.10129927328782,8.841664831534903,13.532261616384055,0.1015,0.05775,0.023899999999999998,0.15605
case_ACTIVSg70k,9,6.0,11.0,11.0,12.0,1.8333333333333333,1.8333333333333333,2.0,0.391,6.0,0.06516666666666668,0.06516666666666668,16.970222222222223,6.0,2.8283703703703704,2.8283703703703704,19.135111111111108,11.0,3.189185185185185,1.7395555555555553,0.5321111111111111,11.0,0.08868518518518519,0.048373737373737374,7.750333333333333,1.291722222222222,0.645861111111111,7.46312962962963,0.8731814922247396,37.89791294983487,42.73254443449154,1.1883109310213917,17.30805019242746,0.4910185185185186,2.3371296296296293,1.0135925925925926,2.1275740740740736
__average_across_cases__,,2.6166666666666667,4.766666666666667,4.766666666666667,5.766666666666667,1.8527777777777779,1.8527777777777779,2.3319444444444444,0.08598416005291006,2.6166666666666667,0.02621061507936508,0.02621061507936508,3.476712037037037,2.6166666666666667,0.9974123456790124,0.9974123456790124,3.568993452380952,4.766666666666667,0.9999872078924162,0.5464836583646616,0.14906550925925927,4.766666666666667,0.05109618055555556,0.02749142505094808,1.36046875,0.37003804012345676,0.17393478064373896,2.444744389329806,1.4078897161572235,39.276222012876296,41.02525157226122,3.6729247376891556,14.617711961016104,0.3605458553791887,0.7640709986772487,0.26472280643738977,0.719827733686067
