case_name,metric,standard_sec_mean,modified_sec_mean,standard_ms_mean,modified_ms_mean,speedup_standard_over_modified,delta_ms_modified_minus_standard,standard_count_mean,modified_count_mean
Base_Eastern_Interconnect_515GW,NR.iteration.mismatch.total_sec,0.0047626,0.0025884,4.7626,2.5884,1.8399783650131356,-2.1742,6.7,7.1
Base_Eastern_Interconnect_515GW,NR.iteration.jacobian.total_sec,0.0004595,0.0002452,0.4595,0.2452,1.8739804241435563,-0.21430000000000002,5.7,3.1
Base_Eastern_Interconnect_515GW,NR.iteration.linear.total_sec,0.0294894,0.0185351,29.4894,18.5351,1.5910030158995636,-10.9543,5.7,6.1
Base_Eastern_Interconnect_515GW,NR.iteration.linear_factorize.total_sec,0.0188914,0.0103186,18.8914,10.3186,1.8308103812532706,-8.572799999999999,5.7,3.1
Base_Eastern_Interconnect_515GW,NR.iteration.linear_solve.total_sec,0.0105947,0.0082148,10.5947,8.2148,1.289708818230511,-2.3799000000000006,5.7,6.1
Base_Eastern_Interconnect_515GW,NR.iteration.voltage_update.total_sec,0.0003206,0.0003343,0.3206,0.3343,0.9590188453484894,0.013700000000000007,5.7,6.1
Base_Eastern_Interconnect_515GW,CUDA.solve.factorization32.total_sec,0.0034533,0.0034271,3.4533,3.4271000000000003,1.0076449476233549,-0.02619999999999966,1.0,1.0
Base_Eastern_Interconnect_515GW,CUDA.solve.refactorization32.total_sec,0.0154367,0.0068905,15.4367,6.8905,2.2402873521515128,-8.5462,4.7,2.1
Base_Eastern_Interconnect_515GW,CUDA.solve.rhsPrepare.total_sec,0.0033598,0.0016619,3.3598,1.6619,2.021661953186112,-1.6979,5.7,6.1
Base_Eastern_Interconnect_515GW,CUDA.solve.solve32.total_sec,0.0070451,0.0063395,7.045100000000001,6.339499999999999,1.1113021531666536,-0.7056000000000007,5.7,6.1
Base_Florida_42GW,NR.iteration.mismatch.total_sec,0.0003673,0.0006352,0.36729999999999996,0.6352000000000001,0.5782430730478588,0.2679000000000001,5.0,6.0
Base_Florida_42GW,NR.iteration.jacobian.total_sec,6.33e-05,4.88e-05,0.0633,0.0488,1.2971311475409835,-0.014499999999999994,4.0,3.0
Base_Florida_42GW,NR.iteration.linear.total_sec,0.0031651,0.0031845,3.1651000000000002,3.1845,0.9939079918354531,0.019399999999999713,4.0,5.0
Base_Florida_42GW,NR.iteration.linear_factorize.total_sec,0.001977,0.0015073,1.977,1.5073,1.3116167982485238,-0.4697,4.0,3.0
Base_Florida_42GW,NR.iteration.linear_solve.total_sec,0.0011848,0.001675,1.1847999999999999,1.675,0.7073432835820895,0.4902000000000001,4.0,5.0
Base_Florida_42GW,NR.iteration.voltage_update.total_sec,8.57e-05,0.0001059,0.0857,0.1059,0.8092540132200189,0.020200000000000003,4.0,5.0
Base_Florida_42GW,CUDA.solve.factorization32.total_sec,0.0005667000000000001,0.0005698,0.5667000000000001,0.5698,0.9945594945594947,0.0030999999999999127,1.0,1.0
Base_Florida_42GW,CUDA.solve.refactorization32.total_sec,0.0014101,0.0009372,1.4101000000000001,0.9372,1.5045881348698251,-0.47290000000000004,3.0,2.0
Base_Florida_42GW,CUDA.solve.rhsPrepare.total_sec,0.0002322,0.00048059999999999997,0.23220000000000002,0.48059999999999997,0.48314606741573035,0.24839999999999995,4.0,5.0
Base_Florida_42GW,CUDA.solve.solve32.total_sec,0.0009421,0.0011811999999999999,0.9420999999999999,1.1811999999999998,0.7975787334913648,0.2390999999999999,4.0,5.0
Base_MIOHIN_76GW,NR.iteration.mismatch.total_sec,0.0006306,0.0008294,0.6306,0.8294,0.7603086568603811,0.19879999999999995,5.0,6.0
Base_MIOHIN_76GW,NR.iteration.jacobian.total_sec,8.03e-05,6.01e-05,0.0803,0.0601,1.3361064891846923,-0.020200000000000003,4.0,3.0
Base_MIOHIN_76GW,NR.iteration.linear.total_sec,0.0048346,0.0046166,4.8346,4.6166,1.047220898496729,-0.21799999999999944,4.0,5.0
Base_MIOHIN_76GW,NR.iteration.linear_factorize.total_sec,0.0031387999999999997,0.0023802,3.1388,2.3802,1.3187127132173766,-0.7585999999999999,4.0,3.0
Base_MIOHIN_76GW,NR.iteration.linear_solve.total_sec,0.0016933,0.0022342,1.6933,2.2342,0.7578999194342494,0.5408999999999999,4.0,5.0
Base_MIOHIN_76GW,NR.iteration.voltage_update.total_sec,9.11e-05,0.0001103,0.0911,0.1103,0.8259292837715323,0.01919999999999999,4.0,5.0
Base_MIOHIN_76GW,CUDA.solve.factorization32.total_sec,0.0008525,0.0008706,0.8524999999999999,0.8706,0.9792097404089133,0.01810000000000006,1.0,1.0
Base_MIOHIN_76GW,CUDA.solve.refactorization32.total_sec,0.0022858,0.0015093,2.2858,1.5093,1.5144769098257471,-0.7765000000000001,3.0,2.0
Base_MIOHIN_76GW,CUDA.solve.rhsPrepare.total_sec,0.0003872,0.0005814,0.3872,0.5814,0.6659786721706226,0.19420000000000007,4.0,5.0
Base_MIOHIN_76GW,CUDA.solve.solve32.total_sec,0.0012882,0.0016314,1.2882,1.6314000000000002,0.7896285399043765,0.3432000000000001,4.0,5.0
Base_Texas_66GW,NR.iteration.mismatch.total_sec,0.0004501,0.0005359,0.4501,0.5358999999999999,0.8398955028923307,0.08579999999999997,5.0,6.0
Base_Texas_66GW,NR.iteration.jacobian.total_sec,6.45e-05,5.04e-05,0.0645,0.0504,1.2797619047619047,-0.014099999999999998,4.0,3.0
Base_Texas_66GW,NR.iteration.linear.total_sec,0.0038971,0.0036287,3.8971,3.6287,1.0739658830986305,-0.26840000000000025,4.0,5.0
Base_Texas_66GW,NR.iteration.linear_factorize.total_sec,0.0024755,0.0018844,2.4755,1.8844,1.3136807471874334,-0.5910999999999997,4.0,3.0
Base_Texas_66GW,NR.iteration.linear_solve.total_sec,0.0014195,0.0017425,1.4195,1.7425,0.8146341463414635,0.32299999999999995,4.0,5.0
Base_Texas_66GW,NR.iteration.voltage_update.total_sec,0.0001038,0.0001062,0.1038,0.1062,0.9774011299435028,0.002400000000000004,4.0,5.0
Base_Texas_66GW,CUDA.solve.factorization32.total_sec,0.0006895,0.0006932,0.6895,0.6932,0.9946624350836699,0.0037000000000000357,1.0,1.0
Base_Texas_66GW,CUDA.solve.refactorization32.total_sec,0.0017858000000000001,0.001191,1.7858,1.191,1.4994122586062133,-0.5948000000000001,3.0,2.0
