measurement_mode,case_name,standard_success_all,modified_success_all,standard_iterations_mean,modified_iterations_mean,standard_final_mismatch_max,modified_final_mismatch_max,standard_elapsed_sec_mean,modified_elapsed_sec_mean,elapsed_sec_speedup_standard_over_modified,elapsed_sec_delta_modified_minus_standard,standard_analyze_sec_mean,modified_analyze_sec_mean,analyze_sec_speedup_standard_over_modified,analyze_sec_delta_modified_minus_standard,standard_solve_sec_mean,modified_solve_sec_mean,solve_sec_speedup_standard_over_modified,solve_sec_delta_modified_minus_standard
end2end,Base_Eastern_Interconnect_515GW,True,True,6.7,7.0,7.831011755721e-09,6.440973270953e-09,0.2540412,0.2279179,1.11461714942091,-0.026123300000000016,0.2126118,0.1983128,1.0721032631277456,-0.014298999999999978,0.0414289,0.0296045,1.3994122515158167,-0.011824399999999999
end2end,Base_Florida_42GW,True,True,5.0,6.0,4.163860783946e-10,1.916265757185e-11,0.0384681,0.0316171,1.2166865398787363,-0.006850999999999996,0.0338542,0.0276474,1.224498506188647,-0.006206800000000002,0.0046137,0.0039692,1.162375289730928,-0.0006445000000000001
end2end,Base_MIOHIN_76GW,True,True,5.0,6.0,2.547273250258e-09,2.599794044725e-10,0.0432924,0.0517283,0.836919055913301,0.008435899999999996,0.0369568,0.0455712,0.8109683308756407,0.008614400000000001,0.006335,0.0061566,1.028977032777832,-0.00017840000000000043
end2end,Base_Texas_66GW,True,True,5.0,6.0,4.194600222718e-11,1.484767864213e-11,0.0319439,0.034224,0.933377162225339,0.0022801,0.0275691,0.0292863,0.9413650751375215,0.001717200000000002,0.0043743,0.0049371,0.8860059549128031,0.0005627999999999996
end2end,Base_West_Interconnect_121GW,True,True,5.8,5.1,5.217021280637e-09,8.324193778719e-09,0.0672067,0.073826,0.9103391759000893,0.0066193000000000085,0.0579481,0.0659693,0.8784101089446152,0.008021199999999992,0.009258,0.0078561,1.1784473211899036,-0.001401900000000001
end2end,MemphisCase2026_Mar7,True,True,3.0,3.0,1.026759231447e-11,7.256705336444e-12,0.0194544,0.0147984,1.3146286084982162,-0.004656,0.0183535,0.0140074,1.310271713522852,-0.004346099999999999,0.0011005,0.0007906,1.3919807740956234,-0.0003098999999999999
end2end,Texas7k_20220923,True,True,4.0,4.7,1.632241824268e-10,9.473813037828e-09,0.0299817,0.036895,0.8126223065456024,0.006913299999999997,0.0263871,0.0340929,0.7739763997782529,0.007705800000000002,0.0035938,0.0028017,1.282721204982689,-0.0007921
end2end,case_ACTIVSg200,True,True,3.0,3.0,6.675526263781e-12,1.52253376573e-09,0.013507,0.011671299999999999,1.157283250366283,-0.0018357000000000009,0.0129172,0.0111932,1.1540220848372227,-0.0017239999999999998,0.0005892,0.0004775,1.2339267015706807,-0.0001117
end2end,case_ACTIVSg2000,True,True,4.0,5.0,6.198976671246e-09,3.970420013764e-11,0.0224835,0.029310799999999998,0.7670722054669269,0.006827299999999998,0.0202613,0.0271814,0.7454104645088184,0.006920100000000002,0.0022218,0.0021291,1.0435395237424263,-9.269999999999981e-05
end2end,case_ACTIVSg25k,True,True,5.0,6.0,4.872614038206e-09,1.115467038074e-09,0.0778732,0.0808168,0.9635768800546423,0.0029435999999999907,0.0671996,0.0701974,0.95729471461906,0.002997799999999995,0.0106731,0.0106189,1.0051041068283908,-5.419999999999904e-05
end2end,case_ACTIVSg500,True,True,4.0,5.0,7.610759299567e-11,1.939206406317e-11,0.013964299999999999,0.0133029,1.0497184824361605,-0.0006613999999999995,0.0128998,0.0122388,1.0540085629310063,-0.0006610000000000001,0.001064,0.0010635,1.000470145745181,-5.000000000000664e-07
end2end,case_ACTIVSg70k,True,True,7.1,12.0,8.214188125112e-09,1.026166800524e-10,0.2310717,0.2200982,1.0498572909728476,-0.010973499999999997,0.1863261,0.1713712,1.0872661217287385,-0.014954899999999993,0.044745099999999996,0.0487264,0.9182927530045313,0.003981300000000007
operators,Base_Eastern_Interconnect_515GW,True,True,6.7,7.1,7.781764684023e-09,8.430054066793e-09,0.2419754,0.2288569,1.0573218460968405,-0.013118500000000005,0.201349,0.2032451,0.9906708698020271,0.0018961000000000117,0.0406257,0.0256112,1.5862474230024364,-0.0150145
operators,Base_Florida_42GW,True,True,5.0,6.0,3.34922395373e-10,2.372789464911e-11,0.029020999999999998,0.047284,0.613759411217325,0.018263,0.024817,0.0426325,0.582114583944174,0.017815499999999998,0.0042033,0.004651000000000001,0.9037411309395827,0.00044770000000000053
operators,Base_MIOHIN_76GW,True,True,5.0,6.0,2.45565079382e-09,2.635651281265e-10,0.0430231,0.0536316,0.8021968391769032,0.0106085,0.0365262,0.0469742,0.7775800332948726,0.010447999999999999,0.006496200000000001,0.0066569,0.9758596343643438,0.00016069999999999973
operators,Base_Texas_66GW,True,True,5.0,6.0,3.288302963256e-11,1.406519345437e-11,0.0338462,0.0335079,1.0100961265850739,-0.0003382999999999997,0.0286495,0.0285127,1.0047978620053521,-0.0001368000000000029,0.0051959,0.0049946,1.0403035278100348,-0.00020129999999999974
operators,Base_West_Interconnect_121GW,True,True,5.8,5.4,5.782269774102e-09,7.193141637885e-09,0.0667249,0.0639374,1.0435973311395208,-0.0027874999999999983,0.057280700000000004,0.0574057,0.9978225158825693,0.00012499999999999317,0.0094436,0.0065312,1.445921117099461,-0.0029124
operators,MemphisCase2026_Mar7,True,True,3.0,3.0,6.525871541406e-12,7.258969343932e-12,0.0153259,0.0163371,0.9381040698777628,0.0010112000000000003,0.0141534,0.015409200000000001,0.9185032318355267,0.0012558000000000014,0.0011718,0.0009274,1.2635324563295234,-0.0002444
operators,Texas7k_20220923,True,True,4.0,4.8,1.131396150861e-10,9.955185168268e-09,0.0310134,0.0301031,1.0302394105590453,-0.0009102999999999993,0.026997,0.026635700000000002,1.0135645017776893,-0.00036129999999999843,0.0040158,0.0034669,1.1583258819117943,-0.0005488999999999997
operators,case_ACTIVSg200,True,True,3.0,3.0,4.60107906959e-12,1.522481973826e-09,0.0124024,0.0186216,0.6660222537268549,0.006219199999999999,0.0117614,0.0181034,0.6496790658108422,0.006341999999999999,0.0006408,0.0005175000000000001,1.238260869565217,-0.0001232999999999999
operators,case_ACTIVSg2000,True,True,4.0,5.0,5.35746890556e-09,3.962326337588e-11,0.0185529,0.0197622,0.938807420226493,0.0012093,0.0164632,0.0175754,0.9367183677185156,0.0011122000000000007,0.0020894,0.0021863,0.9556785436582353,9.690000000000002e-05
operators,case_ACTIVSg25k,True,True,5.0,6.0,3.752981256347e-09,8.137578014994e-10,0.0825612,0.0951374,0.8678101356564296,0.012576199999999996,0.0711382,0.0807914,0.880516985718777,0.0096532,0.0114225,0.0143455,0.7962427241992263,0.0029230000000000003
operators,case_ACTIVSg500,True,True,4.0,5.0,7.459285865313e-11,1.936981617326e-11,0.0131443,0.0131245,1.0015086289001485,-1.9799999999998638e-05,0.0121421,0.0121231,1.0015672558998936,-1.899999999999992e-05,0.0010017000000000001,0.0010009,1.0007992806474173,-8.000000000000194e-07
operators,case_ACTIVSg70k,True,True,7.1,12.0,5.207903571746e-09,6.979238308725e-11,0.2185544,0.2205719,0.990853322658054,0.0020174999999999776,0.1769503,0.1710125,1.0347214384913384,-0.005937799999999993,0.0416037,0.049558899999999996,0.8394798916037282,0.007955199999999996
