CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear.avg_sec,NR.iteration.linear.count,NR.iteration.linear.total_sec,NR.iteration.linear_factorize.avg_sec,NR.iteration.linear_factorize.count,NR.iteration.linear_factorize.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,algorithm,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011737,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012337,4.228065727407e-12,cuda_edge,3,edge_based,0.0005626048489202,end2end,162,cuda_edge,37,0,0.000599,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011335,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011918,4.118293380663e-12,cuda_edge,3,edge_based,0.0005626048488962,end2end,162,cuda_edge,37,1,0.000583,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011131,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011715,6.675526263781e-12,cuda_edge,3,edge_based,0.0005626048488907,end2end,162,cuda_edge,37,2,0.000583,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011379,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011968,4.159750031327e-12,cuda_edge,3,edge_based,0.0005626048488777,end2end,162,cuda_edge,37,3,0.000589,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011237,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011825,6.484674950385e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,4,0.000588,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011169,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011757,4.253028608361e-12,cuda_edge,3,edge_based,0.0005626048489036,end2end,162,cuda_edge,37,5,0.000588,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011149,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.01174,6.503957016336e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,6,0.00059,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011155,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011755,4.294349569381e-12,cuda_edge,3,edge_based,0.0005626048488777,end2end,162,cuda_edge,37,7,0.000599,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.027711,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.028302,4.16346700575e-12,cuda_edge,3,edge_based,0.0005626048489202,end2end,162,cuda_edge,37,8,0.00059,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.011169,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011753,4.195177604132e-12,cuda_edge,3,edge_based,0.0005626048489424,end2end,162,cuda_edge,37,9,0.000583,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.011596,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012086,1.522129838838e-09,cuda_edge_modified,3,edge_based,0.000562604828608,end2end,162,cuda_edge_modified,37,0,0.000489,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.01117,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011655,1.521446080233e-09,cuda_edge_modified,3,edge_based,0.0005626048286024,end2end,162,cuda_edge_modified,37,1,0.000484,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.011168,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011635,1.521392151149e-09,cuda_edge_modified,3,edge_based,0.0005626048286024,end2end,162,cuda_edge_modified,37,2,0.000467,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.011127,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.0116,1.521861220377e-09,cuda_edge_modified,3,edge_based,0.0005626048286338,end2end,162,cuda_edge_modified,37,3,0.000473,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.011143,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011621,1.521961334738e-09,cuda_edge_modified,3,edge_based,0.0005626048286116,end2end,162,cuda_edge_modified,37,4,0.000477,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.011125,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011602,1.520816583778e-09,cuda_edge_modified,3,edge_based,0.000562604828619,end2end,162,cuda_edge_modified,37,5,0.000476,cuda_mixed_edge_modified,True
