algorithm,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
standard,0.011737,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012337,4.228065727407e-12,cuda_edge,3,edge_based,0.0005626048489202,end2end,162,cuda_edge,37,0,0.000599,cuda_mixed_edge,True
standard,0.011335,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011918,4.118293380663e-12,cuda_edge,3,edge_based,0.0005626048488962,end2end,162,cuda_edge,37,1,0.000583,cuda_mixed_edge,True
standard,0.011131,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011715,6.675526263781e-12,cuda_edge,3,edge_based,0.0005626048488907,end2end,162,cuda_edge,37,2,0.000583,cuda_mixed_edge,True
standard,0.011379,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011968,4.159750031327e-12,cuda_edge,3,edge_based,0.0005626048488777,end2end,162,cuda_edge,37,3,0.000589,cuda_mixed_edge,True
standard,0.011237,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011825,6.484674950385e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,4,0.000588,cuda_mixed_edge,True
standard,0.011169,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011757,4.253028608361e-12,cuda_edge,3,edge_based,0.0005626048489036,end2end,162,cuda_edge,37,5,0.000588,cuda_mixed_edge,True
standard,0.011149,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.01174,6.503957016336e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,6,0.00059,cuda_mixed_edge,True
standard,0.011155,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011755,4.294349569381e-12,cuda_edge,3,edge_based,0.0005626048488777,end2end,162,cuda_edge,37,7,0.000599,cuda_mixed_edge,True
standard,0.027711,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.028302,4.16346700575e-12,cuda_edge,3,edge_based,0.0005626048489202,end2end,162,cuda_edge,37,8,0.00059,cuda_mixed_edge,True
standard,0.011169,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011753,4.195177604132e-12,cuda_edge,3,edge_based,0.0005626048489424,end2end,162,cuda_edge,37,9,0.000583,cuda_mixed_edge,True
modified,0.011596,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012086,1.522129838838e-09,cuda_edge_modified,3,edge_based,0.000562604828608,end2end,162,cuda_edge_modified,37,0,0.000489,cuda_mixed_edge_modified,True
modified,0.01117,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011655,1.521446080233e-09,cuda_edge_modified,3,edge_based,0.0005626048286024,end2end,162,cuda_edge_modified,37,1,0.000484,cuda_mixed_edge_modified,True
modified,0.011168,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011635,1.521392151149e-09,cuda_edge_modified,3,edge_based,0.0005626048286024,end2end,162,cuda_edge_modified,37,2,0.000467,cuda_mixed_edge_modified,True
modified,0.011127,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.0116,1.521861220377e-09,cuda_edge_modified,3,edge_based,0.0005626048286338,end2end,162,cuda_edge_modified,37,3,0.000473,cuda_mixed_edge_modified,True
modified,0.011143,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011621,1.521961334738e-09,cuda_edge_modified,3,edge_based,0.0005626048286116,end2end,162,cuda_edge_modified,37,4,0.000477,cuda_mixed_edge_modified,True
modified,0.011125,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011602,1.520816583778e-09,cuda_edge_modified,3,edge_based,0.000562604828619,end2end,162,cuda_edge_modified,37,5,0.000476,cuda_mixed_edge_modified,True
modified,0.011159,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011635,1.52253376573e-09,cuda_edge_modified,3,edge_based,0.0005626048286043,end2end,162,cuda_edge_modified,37,6,0.000476,cuda_mixed_edge_modified,True
modified,0.011148,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011624,1.521584275244e-09,cuda_edge_modified,3,edge_based,0.0005626048286135,end2end,162,cuda_edge_modified,37,7,0.000476,cuda_mixed_edge_modified,True
modified,0.011156,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011634,1.522095560702e-09,cuda_edge_modified,3,edge_based,0.0005626048285895,end2end,162,cuda_edge_modified,37,8,0.000477,cuda_mixed_edge_modified,True
modified,0.01114,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011621,1.521190479137e-09,cuda_edge_modified,3,edge_based,0.0005626048286116,end2end,162,cuda_edge_modified,37,9,0.00048,cuda_mixed_edge_modified,True
standard,0.013111,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.014139,5.826998498953e-11,cuda_edge,4,edge_based,0.03058561718992,end2end,444,cuda_edge,55,0,0.001027,cuda_mixed_edge,True
standard,0.012291,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013321,7.379083912972e-11,cuda_edge,4,edge_based,0.03058561719003,end2end,444,cuda_edge,55,1,0.001029,cuda_mixed_edge,True
standard,0.016797,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.018156,6.28682072721e-11,cuda_edge,4,edge_based,0.03058561719004,end2end,444,cuda_edge,55,2,0.001358,cuda_mixed_edge,True
standard,0.012506,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013531,7.507633532022e-11,cuda_edge,4,edge_based,0.03058561719003,end2end,444,cuda_edge,55,3,0.001025,cuda_mixed_edge,True
standard,0.01208,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013116,5.886339600701e-11,cuda_edge,4,edge_based,0.03058561718987,end2end,444,cuda_edge,55,4,0.001035,cuda_mixed_edge,True
standard,0.013595,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.014631,4.854254576604e-11,cuda_edge,4,edge_based,0.03058561718998,end2end,444,cuda_edge,55,5,0.001035,cuda_mixed_edge,True
standard,0.012223,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013249,7.610759299567e-11,cuda_edge,4,edge_based,0.03058561719003,end2end,444,cuda_edge,55,6,0.001026,cuda_mixed_edge,True
standard,0.012048,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013082,5.738893268481e-11,cuda_edge,4,edge_based,0.03058561718997,end2end,444,cuda_edge,55,7,0.001034,cuda_mixed_edge,True
standard,0.012137,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013176,7.372382500808e-11,cuda_edge,4,edge_based,0.03058561718993,end2end,444,cuda_edge,55,8,0.001039,cuda_mixed_edge,True
standard,0.01221,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013242,6.681522240755e-11,cuda_edge,4,edge_based,0.03058561718998,end2end,444,cuda_edge,55,9,0.001032,cuda_mixed_edge,True
modified,0.012796,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013865,1.927705062898e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,0,0.001069,cuda_mixed_edge_modified,True
modified,0.01219,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.01325,1.933971154307e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,1,0.001059,cuda_mixed_edge_modified,True
modified,0.012138,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013174,1.934797855923e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,2,0.001035,cuda_mixed_edge_modified,True
