CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear.avg_sec,NR.iteration.linear.count,NR.iteration.linear.total_sec,NR.iteration.linear_factorize.avg_sec,NR.iteration.linear_factorize.count,NR.iteration.linear_factorize.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,algorithm,analyze_sec,backend,buses,case_name,compute,cudss_reordering_alg,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.009703,1,0.009703,0.001633,1,0.001633,0.00011,1,0.00011,0.000104,1,0.000104,1.35e-05,2,2.7e-05,7.75e-05,2,0.000155,7.9e-05,1,7.9e-05,0.011339,1,0.011339,0.000298,1,0.000298,0.011718,1,0.011718,1.3e-05,2,2.6e-05,0.0002,2,0.0004,0.000107,2,0.000214,9.2e-05,2,0.000184,2.666666666667e-05,3,8e-05,0.000183,3,0.000549,2.05e-05,2,4.1e-05,1.9e-05,1,1.9e-05,0.000644,1,0.000644,7.2e-05,1,7.2e-05,standard,0.01172,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.012366,4.138966158815e-12,cuda_edge,3,edge_based,0.0005626048489258,operators,162,cuda_edge,37,0,0.000646,cuda_mixed_edge,True
0.009447,1,0.009447,0.001547,1,0.001547,0.00011,1,0.00011,0.000103,1,0.000103,1.35e-05,2,2.7e-05,7.7e-05,2,0.000154,6.6e-05,1,6.6e-05,0.010997,1,0.010997,0.000235,1,0.000235,0.0113,1,0.0113,1.35e-05,2,2.7e-05,0.000199,2,0.000398,0.0001065,2,0.000213,9.15e-05,2,0.000183,2.566666666667e-05,3,7.7e-05,0.0001823333333333,3,0.000547,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000637,1,0.000637,6.9e-05,1,6.9e-05,standard,0.011301,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011939,4.495192945757e-12,cuda_edge,3,edge_based,0.0005626048489332,operators,162,cuda_edge,37,1,0.000638,cuda_mixed_edge,True
0.00932,1,0.00932,0.001548,1,0.001548,0.000109,1,0.000109,0.000103,1,0.000103,1.35e-05,2,2.7e-05,7.75e-05,2,0.000155,6.2e-05,1,6.2e-05,0.010871,1,0.010871,0.000236,1,0.000236,0.011171,1,0.011171,1.3e-05,2,2.6e-05,0.0001985,2,0.000397,0.000106,2,0.000212,9.2e-05,2,0.000184,2.633333333333e-05,3,7.9e-05,0.000182,3,0.000546,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.00064,1,0.00064,7.2e-05,1,7.2e-05,standard,0.011172,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011813,4.017609218092e-12,cuda_edge,3,edge_based,0.0005626048488833,operators,162,cuda_edge,37,2,0.000641,cuda_mixed_edge,True
0.009299,1,0.009299,0.001563,1,0.001563,0.00011,1,0.00011,0.000103,1,0.000103,1.3e-05,2,2.6e-05,7.7e-05,2,0.000154,6.2e-05,1,6.2e-05,0.010865,1,0.010865,0.000232,1,0.000232,0.01116,1,0.01116,1.3e-05,2,2.6e-05,0.0001985,2,0.000397,0.0001065,2,0.000213,9.15e-05,2,0.000183,2.566666666667e-05,3,7.7e-05,0.0001813333333333,3,0.000544,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000634,1,0.000634,6.8e-05,1,6.8e-05,standard,0.011161,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011796,4.198502269002e-12,cuda_edge,3,edge_based,0.0005626048488962,operators,162,cuda_edge,37,3,0.000635,cuda_mixed_edge,True
0.014332,1,0.014332,0.001554,1,0.001554,0.00011,1,0.00011,0.000103,1,0.000103,1.35e-05,2,2.7e-05,7.75e-05,2,0.000155,6.5e-05,1,6.5e-05,0.015888,1,0.015888,0.000233,1,0.000233,0.016188,1,0.016188,1.3e-05,2,2.6e-05,0.0001995,2,0.000399,0.0001065,2,0.000213,9.2e-05,2,0.000184,2.666666666667e-05,3,8e-05,0.0001826666666667,3,0.000548,2e-05,2,4e-05,2e-05,1,2e-05,0.000638,1,0.000638,6.8e-05,1,6.8e-05,standard,0.016189,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.016829,4.21114007791e-12,cuda_edge,3,edge_based,0.0005626048489202,operators,162,cuda_edge,37,4,0.000639,cuda_mixed_edge,True
0.009316,1,0.009316,0.00155,1,0.00155,0.000109,1,0.000109,0.000104,1,0.000104,1.4e-05,2,2.8e-05,7.75e-05,2,0.000155,6.4e-05,1,6.4e-05,0.010869,1,0.010869,0.000234,1,0.000234,0.011169,1,0.011169,1.3e-05,2,2.6e-05,0.0001995,2,0.000399,0.0001065,2,0.000213,9.2e-05,2,0.000184,2.666666666667e-05,3,8e-05,0.0001836666666667,3,0.000551,2.05e-05,2,4.1e-05,2e-05,1,2e-05,0.000639,1,0.000639,6.7e-05,1,6.7e-05,standard,0.01117,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.01181,4.038485449864e-12,cuda_edge,3,edge_based,0.0005626048488999,operators,162,cuda_edge,37,5,0.00064,cuda_mixed_edge,True
0.009469,1,0.009469,0.001553,1,0.001553,0.000109,1,0.000109,0.000102,1,0.000102,1.4e-05,2,2.8e-05,7.75e-05,2,0.000155,6.2e-05,1,6.2e-05,0.011025,1,0.011025,0.000244,1,0.000244,0.011333,1,0.011333,1.3e-05,2,2.6e-05,0.000199,2,0.000398,0.000106,2,0.000212,9.25e-05,2,0.000185,2.733333333333e-05,3,8.2e-05,0.000183,3,0.000549,2e-05,2,4e-05,2e-05,1,2e-05,0.00064,1,0.00064,6.8e-05,1,6.8e-05,standard,0.011334,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011975,4.285655532242e-12,cuda_edge,3,edge_based,0.0005626048489092,operators,162,cuda_edge,37,6,0.000641,cuda_mixed_edge,True
0.009356,1,0.009356,0.001542,1,0.001542,0.000109,1,0.000109,0.000103,1,0.000103,1.4e-05,2,2.8e-05,7.7e-05,2,0.000154,7.5e-05,1,7.5e-05,0.010901,1,0.010901,0.000237,1,0.000237,0.011215,1,0.011215,1.3e-05,2,2.6e-05,0.000199,2,0.000398,0.000106,2,0.000212,9.2e-05,2,0.000184,2.666666666667e-05,3,8e-05,0.000183,3,0.000549,2e-05,2,4e-05,2e-05,1,2e-05,0.000637,1,0.000637,6.7e-05,1,6.7e-05,standard,0.011215,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011854,4.60107906959e-12,cuda_edge,3,edge_based,0.0005626048489165,operators,162,cuda_edge,37,7,0.000638,cuda_mixed_edge,True
0.009294,1,0.009294,0.001548,1,0.001548,0.00011,1,0.00011,0.000103,1,0.000103,1.55e-05,2,3.1e-05,7.95e-05,2,0.000159,6.4e-05,1,6.4e-05,0.010845,1,0.010845,0.000236,1,0.000236,0.011147,1,0.011147,1.3e-05,2,2.6e-05,0.000203,2,0.000406,0.0001065,2,0.000213,9.55e-05,2,0.000191,2.733333333333e-05,3,8.2e-05,0.0001856666666667,3,0.000557,2e-05,2,4e-05,2e-05,1,2e-05,0.000647,1,0.000647,6.8e-05,1,6.8e-05,standard,0.011148,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011796,4.278450916191e-12,cuda_edge,3,edge_based,0.0005626048488833,operators,162,cuda_edge,37,8,0.000648,cuda_mixed_edge,True
0.009268,1,0.009268,0.001623,1,0.001623,0.000109,1,0.000109,0.000103,1,0.000103,1.45e-05,2,2.9e-05,7.75e-05,2,0.000155,6.6e-05,1,6.6e-05,0.010893,1,0.010893,0.000241,1,0.000241,0.011203,1,0.011203,1.3e-05,2,2.6e-05,0.0001995,2,0.000399,0.000106,2,0.000212,9.3e-05,2,0.000186,2.733333333333e-05,3,8.2e-05,0.0001836666666667,3,0.000551,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000641,1,0.000641,6.8e-05,1,6.8e-05,standard,0.011204,cuda,200,case_ACTIVSg200,mixed,DEFAULT,case_ACTIVSg200,0.011846,4.439713751144e-12,cuda_edge,3,edge_based,0.0005626048488833,operators,162,cuda_edge,37,9,0.000642,cuda_mixed_edge,True
