case_name,cudss_reordering_alg,n_bus,jacobian_dim,jacobian_nnz,lu_nnz_total,fill_in_nnz,fill_in_ratio_lu_over_j,fill_in_over_j_ratio,lu_nnz_values
case_ACTIVSg200,DEFAULT,200,361,2489,4285,1796,1.72157492969,0.721574929691,4285
case_ACTIVSg200,ALG_1,200,361,2489,5839,3350,2.34592205705,1.34592205705,5839
case_ACTIVSg200,ALG_2,200,361,2489,5839,3350,2.34592205705,1.34592205705,5839
case_ACTIVSg200,ALG_3,200,361,2489,3985,1496,1.60104459622,0.601044596223,3985
case_ACTIVSg500,DEFAULT,500,943,6275,10547,4272,1.68079681275,0.680796812749,10547
case_ACTIVSg500,ALG_1,500,943,6275,13763,7488,2.19330677291,1.19330677291,13763
case_ACTIVSg500,ALG_2,500,943,6275,13763,7488,2.19330677291,1.19330677291,13763
case_ACTIVSg500,ALG_3,500,943,6275,8835,2560,1.40796812749,0.40796812749,8835
MemphisCase2026_Mar7,DEFAULT,993,1797,13355,32339,18984,2.42149007862,1.42149007862,32339
MemphisCase2026_Mar7,ALG_1,993,1797,13355,41405,28050,3.10033695245,2.10033695245,41405
MemphisCase2026_Mar7,ALG_2,993,1797,13355,41405,28050,3.10033695245,2.10033695245,41405
MemphisCase2026_Mar7,ALG_3,993,1797,13355,27079,13724,2.02763010109,1.02763010109,27079
case_ACTIVSg2000,DEFAULT,2000,3607,26345,87037,60692,3.30373884988,2.30373884988,87037
case_ACTIVSg2000,ALG_1,2000,3607,26345,131256,104911,4.98219776049,3.98219776049,131256
case_ACTIVSg2000,ALG_2,2000,3607,26345,131256,104911,4.98219776049,3.98219776049,131256
case_ACTIVSg2000,ALG_3,2000,3607,26345,77389,51044,2.9375213513,1.9375213513,77389
Base_Florida_42GW,DEFAULT,5658,11210,83806,245210,161404,2.92592415817,1.92592415817,245210
Base_Florida_42GW,ALG_1,5658,11210,83806,343900,260094,4.10352480729,3.10352480729,343900
Base_Florida_42GW,ALG_2,5658,11210,83806,343900,260094,4.10352480729,3.10352480729,343900
Base_Florida_42GW,ALG_3,5658,11210,83806,207966,124160,2.4815168365,1.4815168365,207966
Texas7k_20220923,DEFAULT,6717,12843,91901,293397,201496,3.1925332695,2.1925332695,293397
Texas7k_20220923,ALG_1,6717,12843,91901,476227,384326,5.18195667077,4.18195667077,476227
Texas7k_20220923,ALG_2,6717,12843,91901,476227,384326,5.18195667077,4.18195667077,476227
Texas7k_20220923,ALG_3,6717,12843,91901,254561,162660,2.76994809632,1.76994809632,254561
Base_Texas_66GW,DEFAULT,7336,14431,104763,315319,210556,3.0098317154,2.0098317154,315319
Base_Texas_66GW,ALG_1,7336,14431,104763,492349,387586,4.69964586734,3.69964586734,492349
Base_Texas_66GW,ALG_2,7336,14431,104763,492349,387586,4.69964586734,3.69964586734,492349
Base_Texas_66GW,ALG_3,7336,14431,104763,269233,164470,2.56992449624,1.56992449624,269233
Base_MIOHIN_76GW,DEFAULT,10189,20186,155152,568114,412962,3.66166082293,2.66166082293,568114
Base_MIOHIN_76GW,ALG_1,10189,20186,155152,943637,788485,6.08201634526,5.08201634526,943637
Base_MIOHIN_76GW,ALG_2,10189,20186,155152,943637,788485,6.08201634526,5.08201634526,943637
Base_MIOHIN_76GW,ALG_3,10189,20186,155152,494474,339322,3.18702949366,2.18702949366,494474
Base_West_Interconnect_121GW,DEFAULT,20758,40748,302486,933954,631468,3.08759413659,2.08759413659,933954
Base_West_Interconnect_121GW,ALG_1,20758,40748,302486,1485990,1183504,4.91259099595,3.91259099595,1485990
Base_West_Interconnect_121GW,ALG_2,20758,40748,302486,1485990,1183504,4.91259099595,3.91259099595,1485990
Base_West_Interconnect_121GW,ALG_3,20758,40748,302486,823060,520574,2.72098543404,1.72098543404,823060
case_ACTIVSg25k,DEFAULT,25000,47246,318672,850278,531606,2.66819174574,1.66819174574,850278
case_ACTIVSg25k,ALG_1,25000,47246,318672,1293441,974769,4.05884734147,3.05884734147,1293441
case_ACTIVSg25k,ALG_2,25000,47246,318672,1293441,974769,4.05884734147,3.05884734147,1293441
case_ACTIVSg25k,ALG_3,25000,47246,318672,699220,380548,2.19416829844,1.19416829844,699220
case_ACTIVSg70k,DEFAULT,70000,134104,900558,2671844,1771286,2.96687609238,1.96687609238,2671844
case_ACTIVSg70k,ALG_1,70000,134104,900558,4466768,3566210,4.96000035534,3.96000035534,4466768
case_ACTIVSg70k,ALG_2,70000,134104,900558,4466768,3566210,4.96000035534,3.96000035534,4466768
case_ACTIVSg70k,ALG_3,70000,134104,900558,2306786,1406228,2.56150742095,1.56150742095,2306786
Base_Eastern_Interconnect_515GW,DEFAULT,78478,154916,1143804,4047100,2903296,3.53828103416,2.53828103416,4047100
Base_Eastern_Interconnect_515GW,ALG_1,78478,154916,1143804,6978879,5835075,6.10146406202,5.10146406202,6978879
Base_Eastern_Interconnect_515GW,ALG_2,78478,154916,1143804,6978879,5835075,6.10146406202,5.10146406202,6978879
Base_Eastern_Interconnect_515GW,ALG_3,78478,154916,1143804,3581364,2437560,3.13109938416,2.13109938416,3581364
