case_name,cudss_reordering_alg,n_bus,jacobian_dim,jacobian_nnz,lu_nnz_total,lu_nnz_values
case_ACTIVSg200,DEFAULT,200,361,2489,4285,4285
case_ACTIVSg200,ALG_1,200,361,2489,5839,5839
case_ACTIVSg200,ALG_2,200,361,2489,5839,5839
case_ACTIVSg200,ALG_3,200,361,2489,3985,3985
case_ACTIVSg500,DEFAULT,500,943,6275,10547,10547
case_ACTIVSg500,ALG_1,500,943,6275,13763,13763
case_ACTIVSg500,ALG_2,500,943,6275,13763,13763
case_ACTIVSg500,ALG_3,500,943,6275,8835,8835
MemphisCase2026_Mar7,DEFAULT,993,1797,13355,32339,32339
MemphisCase2026_Mar7,ALG_1,993,1797,13355,41405,41405
MemphisCase2026_Mar7,ALG_2,993,1797,13355,41405,41405
MemphisCase2026_Mar7,ALG_3,993,1797,13355,27079,27079
case_ACTIVSg2000,DEFAULT,2000,3607,26345,87037,87037
case_ACTIVSg2000,ALG_1,2000,3607,26345,131256,131256
case_ACTIVSg2000,ALG_2,2000,3607,26345,131256,131256
case_ACTIVSg2000,ALG_3,2000,3607,26345,77389,77389
Base_Florida_42GW,DEFAULT,5658,11210,83806,245210,245210
Base_Florida_42GW,ALG_1,5658,11210,83806,343900,343900
Base_Florida_42GW,ALG_2,5658,11210,83806,343900,343900
Base_Florida_42GW,ALG_3,5658,11210,83806,207966,207966
Texas7k_20220923,DEFAULT,6717,12843,91901,293397,293397
Texas7k_20220923,ALG_1,6717,12843,91901,476227,476227
Texas7k_20220923,ALG_2,6717,12843,91901,476227,476227
Texas7k_20220923,ALG_3,6717,12843,91901,254561,254561
Base_Texas_66GW,DEFAULT,7336,14431,104763,315319,315319
Base_Texas_66GW,ALG_1,7336,14431,104763,492349,492349
Base_Texas_66GW,ALG_2,7336,14431,104763,492349,492349
Base_Texas_66GW,ALG_3,7336,14431,104763,269233,269233
Base_MIOHIN_76GW,DEFAULT,10189,20186,155152,568114,568114
Base_MIOHIN_76GW,ALG_1,10189,20186,155152,943637,943637
Base_MIOHIN_76GW,ALG_2,10189,20186,155152,943637,943637
Base_MIOHIN_76GW,ALG_3,10189,20186,155152,494474,494474
Base_West_Interconnect_121GW,DEFAULT,20758,40748,302486,933954,933954
Base_West_Interconnect_121GW,ALG_1,20758,40748,302486,1485990,1485990
Base_West_Interconnect_121GW,ALG_2,20758,40748,302486,1485990,1485990
Base_West_Interconnect_121GW,ALG_3,20758,40748,302486,823060,823060
case_ACTIVSg25k,DEFAULT,25000,47246,318672,850278,850278
case_ACTIVSg25k,ALG_1,25000,47246,318672,1293441,1293441
case_ACTIVSg25k,ALG_2,25000,47246,318672,1293441,1293441
case_ACTIVSg25k,ALG_3,25000,47246,318672,699220,699220
case_ACTIVSg70k,DEFAULT,70000,134104,900558,2671844,2671844
case_ACTIVSg70k,ALG_1,70000,134104,900558,4466768,4466768
case_ACTIVSg70k,ALG_2,70000,134104,900558,4466768,4466768
case_ACTIVSg70k,ALG_3,70000,134104,900558,2306786,2306786
Base_Eastern_Interconnect_515GW,DEFAULT,78478,154916,1143804,4047100,4047100
Base_Eastern_Interconnect_515GW,ALG_1,78478,154916,1143804,6978879,6978879
Base_Eastern_Interconnect_515GW,ALG_2,78478,154916,1143804,6978879,6978879
Base_Eastern_Interconnect_515GW,ALG_3,78478,154916,1143804,3581364,3581364
