case_name,matching_label,use_matching,matching_alg,reordering_alg,n_bus,jacobian_dim,jacobian_nnz,lu_nnz_total,lu_nnz_values,npivots_total,npivots_values
case_ACTIVSg200,off,0,ALG_4,DEFAULT,200,361,2489,4285,4285,0,0
case_ACTIVSg200,on,1,ALG_4,DEFAULT,200,361,2489,4285,4285,0,0
case_ACTIVSg500,off,0,ALG_4,DEFAULT,500,943,6275,10547,10547,0,0
case_ACTIVSg500,on,1,ALG_4,DEFAULT,500,943,6275,10547,10547,0,0
MemphisCase2026_Mar7,off,0,ALG_4,DEFAULT,993,1797,13355,32339,32339,0,0
MemphisCase2026_Mar7,on,1,ALG_4,DEFAULT,993,1797,13355,32339,32339,0,0
case_ACTIVSg2000,off,0,ALG_4,DEFAULT,2000,3607,26345,87037,87037,0,0
case_ACTIVSg2000,on,1,ALG_4,DEFAULT,2000,3607,26345,87037,87037,0,0
Base_Florida_42GW,off,0,ALG_4,DEFAULT,5658,11210,83806,245210,245210,0,0
Base_Florida_42GW,on,1,ALG_4,DEFAULT,5658,11210,83806,245210,245210,0,0
Texas7k_20220923,off,0,ALG_4,DEFAULT,6717,12843,91901,293397,293397,0,0
Texas7k_20220923,on,1,ALG_4,DEFAULT,6717,12843,91901,293397,293397,0,0
Base_Texas_66GW,off,0,ALG_4,DEFAULT,7336,14431,104763,315319,315319,0,0
Base_Texas_66GW,on,1,ALG_4,DEFAULT,7336,14431,104763,312791,312791,0,0
Base_MIOHIN_76GW,off,0,ALG_4,DEFAULT,10189,20186,155152,568114,568114,0,0
Base_MIOHIN_76GW,on,1,ALG_4,DEFAULT,10189,20186,155152,568114,568114,0,0
Base_West_Interconnect_121GW,off,0,ALG_4,DEFAULT,20758,40748,302486,933954,933954,0,0
Base_West_Interconnect_121GW,on,1,ALG_4,DEFAULT,20758,40748,302486,933954,933954,0,0
case_ACTIVSg25k,off,0,ALG_4,DEFAULT,25000,47246,318672,850278,850278,0,0
case_ACTIVSg25k,on,1,ALG_4,DEFAULT,25000,47246,318672,855520,855520,0,0
case_ACTIVSg70k,off,0,ALG_4,DEFAULT,70000,134104,900558,2671844,2671844,0,0
case_ACTIVSg70k,on,1,ALG_4,DEFAULT,70000,134104,900558,2665900,2665900,0,0
Base_Eastern_Interconnect_515GW,off,0,ALG_4,DEFAULT,78478,154916,1143804,4047100,4047100,0,0
Base_Eastern_Interconnect_515GW,on,1,ALG_4,DEFAULT,78478,154916,1143804,4003732,4003732,0,0
