==PROF== Connected to process 146620 (/workspace/gpu-powerflow/exp/20260420/jac_asm/build/jac_asm_bench)
case,n_bus,ybus_nnz,n_pv,n_pq,jac_dim,jac_nnz,analyze_ms,edge_fill_ms,vertex_thread_fill_ms,vertex_warp_fill_ms,vertex_warp_over_thread,vertex_check_max_abs_diff,vertex_check_max_rel_diff,vertex_check_bad_count
MemphisCase2026_Mar7,993,3669,187,805,1797,13355,0.489456,0,319.15,9.30086,0.0291426,0,0,-1
==PROF== Disconnected from process 146620
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","19456"
"0","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","48"
"0","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","launch__thread_count","thread","1024"
"0","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","10.85"
"0","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","23072"
"0","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed.sum","inst","339450"
"0","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.pct","%","45.98"
"0","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(4, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","14.71"
"1","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(124, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","6144"
"1","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(124, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","48"
"1","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(124, 1, 1)","0","8.6","Command line profiler metrics","launch__thread_count","thread","31744"
"1","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(124, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","23.97"
"1","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(124, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","223516"
"1","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(124, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed.sum","inst","2568772"
"1","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(124, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.pct","%","35.91"
"1","146620","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(124, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","11.49"
