==PROF== Connected to process 146800 (/workspace/gpu-powerflow/exp/20260420/jac_asm/build/jac_asm_bench)
case,n_bus,ybus_nnz,n_pv,n_pq,jac_dim,jac_nnz,analyze_ms,edge_fill_ms,vertex_thread_fill_ms,vertex_warp_fill_ms,vertex_warp_over_thread,vertex_check_max_abs_diff,vertex_check_max_rel_diff,vertex_check_bad_count
case_ACTIVSg70k,70000,236636,5894,64105,134104,900558,39.2334,0,340.39,10.1198,0.0297299,0,0,-1
==PROF== Disconnected from process 146800
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(274, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","56960"
"0","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(274, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","48"
"0","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(274, 1, 1)","0","8.6","Command line profiler metrics","launch__thread_count","thread","70144"
"0","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(274, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","49.23"
"0","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(274, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","1591310"
"0","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(274, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed.sum","inst","22460742"
"0","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(274, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.pct","%","44.11"
"0","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(274, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","14.11"
"1","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(8750, 1, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","88896"
"1","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(8750, 1, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","48"
"1","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(8750, 1, 1)","0","8.6","Command line profiler metrics","launch__thread_count","thread","2240000"
"1","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(8750, 1, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","77.00"
"1","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(8750, 1, 1)","0","8.6","Command line profiler metrics","smsp__inst_executed.sum","inst","16186246"
"1","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(8750, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed.sum","inst","179305528"
"1","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(8750, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.pct","%","34.62"
"1","146800","jac_asm_bench","127.0.0.1","fill_jacobian_vertex_warp(YbusGraph, const float *, const float *, const float *, const float *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, float *)","1","7","(256, 1, 1)","(8750, 1, 1)","0","8.6","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","11.08"
