case,n_bus,ybus_nnz,n_pv,n_pq,jac_dim,jac_nnz,common_analyze_ms,edge_map_ms,vertex_map_ms,edge_fill_ms,vertex_fill_ms
Base_Eastern_Interconnect_515GW,78478,294392,2038,76439,154916,1143804,29.8369,76.4784,92.1201,0.0617472,0.192901
Base_Florida_42GW,5658,21384,104,5553,11210,83806,1.71614,5.22775,5.29299,0.00520192,0.0110182
Base_MIOHIN_76GW,10189,39589,190,9998,20186,155152,3.10468,9.27452,9.40077,0.00754688,0.0123699
Base_Texas_66GW,7336,27174,239,7096,14431,104763,2.19884,6.32442,6.54525,0.0054272,0.00971776
Base_West_Interconnect_121GW,20758,78550,766,19991,40748,302486,6.21764,18,18.4027,0.0118989,0.0195584
MemphisCase2026_Mar7,993,3669,187,805,1797,13355,0.26303,0.819401,0.82768,0.00342016,0.0124314
Texas7k_20220923,6717,24009,589,6127,12843,91901,1.93995,5.46036,5.49878,0.00520192,0.0118682
case_ACTIVSg200,200,690,37,162,361,2489,0.05889,0.12962,0.18666,0.0032768,0.00679936
case_ACTIVSg2000,2000,7334,391,1608,3607,26345,0.56671,1.57627,1.61324,0.00339968,0.010967
case_ACTIVSg25k,25000,85220,2752,22247,47246,318672,7.02558,19.2497,19.6723,0.0124518,0.0161178
case_ACTIVSg500,500,1668,55,444,943,6275,0.12988,0.29976,0.41391,0.00330752,0.00806912
case_ACTIVSg70k,70000,236636,5894,64105,134104,900558,19.6776,59.4203,64.4533,0.0489677,0.132311
