case,n_bus,ybus_nnz,n_pv,n_pq,jac_dim,jac_nnz,analyze_ms,edge_fill_ms,vertex_thread_fill_ms,vertex_warp_fill_ms,vertex_warp_over_thread,vertex_check_max_abs_diff,vertex_check_max_rel_diff,vertex_check_bad_count
Base_Eastern_Interconnect_515GW,78478,294392,2038,76439,154916,1143804,49.5748,0,0.0822982,0.0912688,1.109,0.0078125,9.02631e-07,0
Base_Florida_42GW,5658,21384,104,5553,11210,83806,2.52127,0,0.00979968,0.00792576,0.808777,0.00390625,3.24058e-07,0
Base_MIOHIN_76GW,10189,39589,190,9998,20186,155152,4.81718,0,0.0120602,0.012032,0.997665,0.000976562,3.1759e-07,0
Base_Texas_66GW,7336,27174,239,7096,14431,104763,3.15916,0,0.0102298,0.0095232,0.930931,0.00195312,4.06517e-07,0
Base_West_Interconnect_121GW,20758,78550,766,19991,40748,302486,9.55674,0,0.0167219,0.0214426,1.2823,0.03125,3.61696e-07,0
MemphisCase2026_Mar7,993,3669,187,805,1797,13355,0.38038,0,0.0127898,0.0040528,0.316879,0.00195312,3.77225e-07,0
Texas7k_20220923,6717,24009,589,6127,12843,91901,2.86938,0,0.0137216,0.00869376,0.633582,0.00195312,3.86289e-07,0
case_ACTIVSg200,200,690,37,162,361,2489,0.080553,0,0.00730112,0.00355328,0.486676,0.00012207,2.38143e-07,0
case_ACTIVSg2000,2000,7334,391,1608,3607,26345,0.838268,0,0.011049,0.00441408,0.399502,0.000610352,3.56405e-07,0
case_ACTIVSg25k,25000,85220,2752,22247,47246,318672,11.0479,0,0.0162595,0.0248013,1.52534,0.00390625,6.10616e-05,0
case_ACTIVSg500,500,1668,55,444,943,6275,0.187705,0,0.00827392,0.003584,0.433168,0.000244141,3.71157e-07,0
case_ACTIVSg70k,70000,236636,5894,64105,134104,900558,38.1008,0,0.0566048,0.0774349,1.36799,0.0078125,0.000187339,0
