case,buses,nnz,batch,warmup,repeats,custom_ms,cusparse_fp64_spmm_ms,cusparse_fp64_with_pack_ms,cusparse_fp64_spmm_speedup,cusparse_fp64_with_pack_speedup,cusparse_fp64_max_abs_diff,cusparse_fp64_j_max_abs_diff,cusparse_fp32_spmm_ms,cusparse_fp32_with_pack_ms,cusparse_fp32_spmm_speedup,cusparse_fp32_with_pack_speedup,cusparse_fp32_max_abs_diff,cusparse_fp32_j_max_abs_diff,cusparse_mixed_probe_status
case_ACTIVSg200,200,690,1,3,20,0.003988799825,0.03609600067,0.03804160058,0.1105053123,0.1048536277,1.42286072e-13,2.273736754e-13,0.02928639948,0.03112959862,0.1361997342,0.1281352797,4.831510676e-05,4.831510672e-05,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg200,200,690,4,3,20,0.005785600096,0.03860479891,0.04049920142,0.1498673807,0.1428571402,1.066658616e-13,2.273736754e-13,0.02959519923,0.03153919876,0.1954911691,0.1834415687,5.526943903e-05,5.526943898e-05,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg200,200,690,8,3,20,0.00757760033,0.05171200037,0.05375999808,0.1465346588,0.1409523921,1.066658616e-13,2.273736754e-13,0.0339455992,0.03578880131,0.2232277676,0.2117310458,5.526943903e-05,5.526943898e-05,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg200,200,690,16,3,20,0.01136640012,0.07695360184,0.07910400033,0.1477045889,0.1436893213,1.066658616e-13,2.273736754e-13,0.04213759899,0.04413439929,0.2697448453,0.2575406101,5.526943903e-05,5.526943898e-05,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg200,200,690,64,3,20,0.03752959967,0.07746559978,0.07941120267,0.4844679416,0.4725983036,1.066658616e-13,2.273736754e-13,0.04234240055,0.04430240095,0.8863361354,0.8471233808,5.526943903e-05,5.526943898e-05,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg200,200,690,256,3,20,0.1412016034,0.07849119902,0.08099840283,1.798948228,1.743264046,1.066658616e-13,2.273736754e-13,0.04295679927,0.0454144001,3.287060624,3.109181297,5.526943903e-05,5.526943898e-05,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg2000,2000,7334,1,3,20,0.009267199785,0.0388063997,0.04075039923,0.2388059664,0.2274137176,4.790238617e-13,1.818989404e-12,0.03205119967,0.03389439881,0.2891373764,0.2734139005,0.0002159536714,0.0002159536574,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg2000,2000,7334,4,3,20,0.02527999878,0.0419840008,0.04392960072,0.6021341058,0.5754661633,5.017382705e-13,1.818989404e-12,0.03281919956,0.03476479948,0.7702807843,0.7271722881,0.0002159536714,0.0002159536574,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg2000,2000,7334,8,3,20,0.04633600116,0.05493760109,0.0569855988,0.8434296409,0.8131177373,5.017382705e-13,1.818989404e-12,0.0371728003,0.03916800022,1.24650284,1.183006559,0.0002159536714,0.0002159536574,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg2000,2000,7334,16,3,20,0.08862720132,0.08033279777,0.08263679743,1.103250525,1.072490756,5.017382705e-13,1.818989404e-12,0.04531199932,0.04761599898,1.955932262,1.86129039,0.0002159536714,0.0002159536574,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg2000,2000,7334,64,3,20,0.3473279953,0.1248736024,0.1279999971,2.781436498,2.713500024,5.017382705e-13,1.818989404e-12,0.04991999865,0.05340160131,6.957692402,6.504074536,0.0002159536714,0.0002159536574,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
case_ACTIVSg2000,2000,7334,256,3,20,1.379532814,0.3291647911,0.3454463959,4.191009644,3.993478671,5.017382705e-13,1.818989404e-12,0.07823359966,0.100454402,17.63350811,13.73292546,0.0002159536714,0.0002159536574,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
Texas7k_20220923,6717,24009,1,3,20,0.02165759951,0.04172799885,0.04398080111,0.5190184074,0.4924330382,1.939863002e-12,3.637978807e-12,0.03481599987,0.03686400056,0.6220588118,0.5874999778,0.001212189581,0.001212189638,"CUSPARSE_STATUS_NOT_SUPPORTED(10): operation not supported"
