==PROF== Connected to process 54931 (/tmp/custom_linear_solver_cudss_profile/cudss_run)
==PROF== Disconnected from process 54931
==WARNING== No NVTX state will be printed as --nvtx option is not supported together with --csv option and --print-summary per-kernel/per-gpu option.

"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","DRAM Frequency","hz","9306666666.67","9306666666.67","9306666666.67"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","SM Frequency","hz","1378169642.86","1378169642.86","1378169642.86"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","4411.00","4411.00","4411.00"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","Memory Throughput","%","1.31","1.31","1.31"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","DRAM Throughput","%","0.52","0.52","0.52"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","Duration","ns","3200.00","3200.00","3200.00"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","14.65","14.65","14.65"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","L2 Cache Throughput","%","1.31","1.31","1.31"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","SM Active Cycles","cycle","81.89","81.89","81.89"
"54931","cudss_run","127.0.0.1","void copy_matrix_ker<long, double, int, int, double, 128>(T3, T3, T1, const T4 *, const T1 *, const T2 *, T2 *, int, const T4 *, const T3 *, T5 *, int, int, long, long)","(128, 1, 1)","(3, 1, 1)","0","8.6","1","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","0.04","0.04","0.04"
