case,tier,n,nnz,phase,kernel,invocations,grid_size,block_size,duration_ns,achieved_occupancy_pct,sm_throughput_pct,dram_throughput_pct,waves_per_sm
case118,small,181,1051,factorize,void copy_matrix_ker,1,"(3, 1, 1)","(128, 1, 1)",3296.00,7.74,0.09,0.73,0.01
case118,small,181,1051,factorize,void factorize_v3_ker,1,"(218, 1, 1)","(128, 1, 1)",66304.00,14.54,1.94,0.38,0.53
case118,small,181,1051,factorize,void finalize_eps_scale_ker,1,"(2, 1, 1)","(128, 1, 1)",2272.00,7.98,0.01,0.14,0.00
case118,small,181,1051,factorize,void independent_ker,1,"(100, 1, 1)","(64, 1, 1)",13792.00,3.92,3.12,0.36,0.08
case118,small,181,1051,factorize,void plain_map_ker,1,"(100, 1, 1)","(128, 1, 1)",3776.00,8.42,1.27,0.26,0.10
case118,small,181,1051,solve,void bwd_ker,1,"(100, 1, 1)","(32, 1, 1)",37344.00,2.39,1.51,0.18,0.08
case118,small,181,1051,solve,void fwd_ker,1,"(100, 1, 1)","(128, 1, 1)",24608.00,8.97,1.20,0.23,0.15
case118,small,181,1051,solve,void perm_ker,1,"(2, 1, 1)","(128, 1, 1)",3104.00,7.12,0.02,0.21,0.00
case118,small,181,1051,solve,void perm_ker,1,"(2, 1, 1)","(128, 1, 1)",2688.00,7.41,0.02,0.27,0.00
case1197,medium,2392,14344,factorize,void copy_matrix_ker,1,"(37, 1, 1)","(128, 1, 1)",3456.00,8.18,1.09,7.82,0.08
case1197,medium,2392,14344,factorize,void factorize_ker,1,"(155, 1, 1)","(32, 1, 1)",23424.00,3.39,5.15,0.43,0.12
case1197,medium,2392,14344,factorize,void factorize_v3_ker,1,"(1598, 1, 1)","(128, 1, 1)",100896.00,30.28,10.25,0.98,3.90
case1197,medium,2392,14344,factorize,void finalize_eps_scale_ker,1,"(19, 1, 1)","(128, 1, 1)",2336.00,8.24,0.14,0.15,0.02
case1197,medium,2392,14344,factorize,void independent_ker,1,"(1004, 1, 1)","(64, 1, 1)",21568.00,24.67,24.65,0.98,0.77
case1197,medium,2392,14344,factorize,void plain_map_ker,1,"(1004, 1, 1)","(128, 1, 1)",4384.00,44.15,9.66,1.03,1.02
case1197,medium,2392,14344,solve,void bwd_ker,1,"(155, 1, 1)","(32, 1, 1)",46176.00,20.02,13.99,0.66,0.77
case1197,medium,2392,14344,solve,void fwd_ker,1,"(1004, 1, 1)","(128, 1, 1)",32896.00,38.14,8.44,0.69,1.53
case1197,medium,2392,14344,solve,void fwd_ker,1,"(155, 1, 1)","(32, 1, 1)",12256.00,3.68,1.57,0.59,0.12
case1197,medium,2392,14344,solve,void perm_ker,1,"(19, 1, 1)","(128, 1, 1)",3104.00,8.13,0.20,1.17,0.02
case1197,medium,2392,14344,solve,void perm_ker,1,"(19, 1, 1)","(128, 1, 1)",2848.00,8.10,0.23,1.60,0.02
case1197,medium,2392,14344,solve,void upd_marker_bwd_ker,1,"(7, 1, 1)","(256, 1, 1)",2816.00,15.37,0.15,0.39,0.01
case5,tiny,5,17,factorize,void copy_matrix_ker,2,"(1, 1, 1)","(128, 1, 1)",3152.00,4.56,0.01,2.00,0.00
case5,tiny,5,17,factorize,void factorize_v3_ker,1,"(2, 1, 1)","(128, 1, 1)",17504.00,8.23,0.12,0.54,0.00
case5,tiny,5,17,factorize,void finalize_eps_scale_ker,1,"(1, 1, 1)","(128, 1, 1)",2272.00,7.42,0.00,0.13,0.00
case5,tiny,5,17,factorize,void independent_ker,1,"(3, 1, 1)","(64, 1, 1)",6432.00,3.69,0.10,0.46,0.00
case5,tiny,5,17,factorize,void plain_map_ker,1,"(3, 1, 1)","(128, 1, 1)",3584.00,7.51,0.04,0.17,0.00
case5,tiny,5,17,solve,void bwd_ker,1,"(3, 1, 1)","(32, 1, 1)",12832.00,2.08,0.08,0.31,0.00
case5,tiny,5,17,solve,void fwd_ker,1,"(3, 1, 1)","(128, 1, 1)",8864.00,7.90,0.08,0.36,0.00
case5,tiny,5,17,solve,void perm_ker,1,"(1, 1, 1)","(128, 1, 1)",3008.00,4.85,0.01,0.12,0.00
case5,tiny,5,17,solve,void perm_ker,1,"(1, 1, 1)","(128, 1, 1)",2720.00,5.65,0.01,0.13,0.00
case6468rte,medium-large,12643,87845,factorize,void copy_matrix_ker,1,"(238, 1, 1)","(128, 1, 1)",4928.00,40.03,4.33,37.38,0.46
case6468rte,medium-large,12643,87845,factorize,void factorize_ker,1,"(5480, 1, 1)","(32, 1, 1)",101664.00,25.36,42.35,1.98,4.18
case6468rte,medium-large,12643,87845,factorize,void factorize_v3_ker,1,"(7392, 1, 1)","(128, 1, 1)",521632.00,27.05,7.56,0.55,18.03
case6468rte,medium-large,12643,87845,factorize,void finalize_eps_scale_ker,1,"(99, 1, 1)","(128, 1, 1)",2400.00,9.69,0.71,0.17,0.10
case6468rte,medium-large,12643,87845,factorize,void independent_ker,1,"(458, 1, 1)","(64, 1, 1)",3488.00,20.90,2.60,1.02,0.35
case6468rte,medium-large,12643,87845,factorize,void plain_map_ker,1,"(458, 1, 1)","(128, 1, 1)",3968.00,31.78,7.35,1.67,0.47
case6468rte,medium-large,12643,87845,solve,void bwd_ker,1,"(458, 1, 1)","(32, 1, 1)",48288.00,28.15,41.30,3.63,4.18
case6468rte,medium-large,12643,87845,solve,void fwd_ker,1,"(458, 1, 1)","(128, 1, 1)",98464.00,18.38,1.76,0.39,0.70
case6468rte,medium-large,12643,87845,solve,void fwd_ker,1,"(5480, 1, 1)","(32, 1, 1)",32416.00,26.24,19.60,3.98,4.18
case6468rte,medium-large,12643,87845,solve,void perm_ker,1,"(99, 1, 1)","(128, 1, 1)",3456.00,9.69,0.96,5.88,0.10
case6468rte,medium-large,12643,87845,solve,void perm_ker,1,"(99, 1, 1)","(128, 1, 1)",3232.00,9.12,1.10,6.47,0.10
case6468rte,medium-large,12643,87845,solve,void upd_marker_bwd_ker,1,"(29, 1, 1)","(256, 1, 1)",2784.00,16.19,0.70,2.32,0.06
case_ACTIVSg25k,large,47246,318672,factorize,void copy_matrix_ker,1,"(868, 1, 1)","(128, 1, 1)",10880.00,75.75,7.56,70.56,1.65
case_ACTIVSg25k,large,47246,318672,factorize,void factorize_ker,1,"(22342, 1, 1)","(32, 1, 1)",463744.00,28.85,39.25,2.38,17.03
case_ACTIVSg25k,large,47246,318672,factorize,void factorize_v3_ker,1,"(23633, 1, 1)","(128, 1, 1)",1696320.00,28.81,12.26,0.74,57.64
case_ACTIVSg25k,large,47246,318672,factorize,void finalize_eps_scale_ker,1,"(370, 1, 1)","(128, 1, 1)",2624.00,29.86,2.35,0.97,0.38
case_ACTIVSg25k,large,47246,318672,factorize,void independent_ker,1,"(716, 1, 1)","(64, 1, 1)",3776.00,30.64,3.71,0.92,0.55
case_ACTIVSg25k,large,47246,318672,factorize,void plain_map_ker,1,"(716, 1, 1)","(128, 1, 1)",4448.00,48.98,11.43,5.88,0.73
case_ACTIVSg25k,large,47246,318672,solve,void bwd_ker,1,"(716, 1, 1)","(32, 1, 1)",136512.00,30.87,57.42,6.61,17.03
case_ACTIVSg25k,large,47246,318672,solve,void fwd_ker,1,"(716, 1, 1)","(128, 1, 1)",245120.00,21.65,1.56,0.95,1.09
case_ACTIVSg25k,large,47246,318672,solve,void fwd_ker,1,"(22342, 1, 1)","(32, 1, 1)",102464.00,29.32,24.85,5.93,17.03
case_ACTIVSg25k,large,47246,318672,solve,void perm_ker,1,"(370, 1, 1)","(128, 1, 1)",3808.00,32.85,3.08,17.57,0.38
case_ACTIVSg25k,large,47246,318672,solve,void perm_ker,1,"(370, 1, 1)","(128, 1, 1)",4096.00,27.38,3.07,17.38,0.38
case_ACTIVSg25k,large,47246,318672,solve,void upd_marker_bwd_ker,1,"(93, 1, 1)","(256, 1, 1)",3040.00,17.77,2.06,6.45,0.19
case_ACTIVSg70k,very-large,134104,900558,factorize,void copy_matrix_ker,1,"(2459, 1, 1)","(128, 1, 1)",27648.00,82.00,7.35,83.19,4.65
case_ACTIVSg70k,very-large,134104,900558,factorize,void factorize_ker,1,"(64508, 1, 1)","(32, 1, 1)",1388320.00,30.25,40.72,2.68,49.17
case_ACTIVSg70k,very-large,134104,900558,factorize,void factorize_v3_ker,1,"(52294, 1, 1)","(128, 1, 1)",3820512.00,30.87,16.65,1.42,127.55
case_ACTIVSg70k,very-large,134104,900558,factorize,void finalize_eps_scale_ker,1,"(1048, 1, 1)","(128, 1, 1)",3200.00,44.53,5.04,9.06,1.07
case_ACTIVSg70k,very-large,134104,900558,factorize,void independent_ker,1,"(823, 1, 1)","(64, 1, 1)",3776.00,33.84,4.05,0.96,0.63
case_ACTIVSg70k,very-large,134104,900558,factorize,void plain_map_ker,1,"(823, 1, 1)","(128, 1, 1)",4800.00,51.17,14.28,11.31,0.84
case_ACTIVSg70k,very-large,134104,900558,solve,void bwd_ker,1,"(823, 1, 1)","(32, 1, 1)",365984.00,32.10,62.38,12.33,49.17
case_ACTIVSg70k,very-large,134104,900558,solve,void fwd_ker,1,"(823, 1, 1)","(128, 1, 1)",398848.00,21.43,2.25,1.91,1.25
case_ACTIVSg70k,very-large,134104,900558,solve,void fwd_ker,1,"(64508, 1, 1)","(32, 1, 1)",258336.00,31.01,28.60,7.92,49.17
case_ACTIVSg70k,very-large,134104,900558,solve,void perm_ker,1,"(1048, 1, 1)","(128, 1, 1)",5568.00,71.85,5.76,43.57,1.07
case_ACTIVSg70k,very-large,134104,900558,solve,void perm_ker,1,"(1048, 1, 1)","(128, 1, 1)",7232.00,57.54,4.68,32.95,1.07
case_ACTIVSg70k,very-large,134104,900558,solve,void upd_marker_bwd_ker,1,"(205, 1, 1)","(256, 1, 1)",3392.00,33.12,4.05,13.99,0.42
case_SyntheticUSA,largest,156255,1052085,factorize,void copy_matrix_ker,1,"(2882, 1, 1)","(128, 1, 1)",31424.00,83.26,7.28,84.57,5.42
case_SyntheticUSA,largest,156255,1052085,factorize,void factorize_ker,1,"(75561, 1, 1)","(32, 1, 1)",1848736.00,29.91,37.44,2.98,57.59
case_SyntheticUSA,largest,156255,1052085,factorize,void factorize_v3_ker,1,"(56929, 1, 1)","(128, 1, 1)",3614176.00,32.68,18.32,1.56,138.85
case_SyntheticUSA,largest,156255,1052085,factorize,void finalize_eps_scale_ker,1,"(1221, 1, 1)","(128, 1, 1)",3328.00,43.25,5.36,12.14,1.24
case_SyntheticUSA,largest,156255,1052085,factorize,void independent_ker,1,"(825, 1, 1)","(64, 1, 1)",3840.00,33.82,4.15,0.93,0.63
case_SyntheticUSA,largest,156255,1052085,factorize,void plain_map_ker,1,"(825, 1, 1)","(128, 1, 1)",4800.00,51.76,14.70,11.88,0.84
case_SyntheticUSA,largest,156255,1052085,solve,void bwd_ker,1,"(825, 1, 1)","(32, 1, 1)",436128.00,32.08,61.33,10.55,57.59
case_SyntheticUSA,largest,156255,1052085,solve,void fwd_ker,1,"(825, 1, 1)","(128, 1, 1)",398912.00,20.79,2.38,1.96,1.26
case_SyntheticUSA,largest,156255,1052085,solve,void fwd_ker,1,"(75561, 1, 1)","(32, 1, 1)",307712.00,31.07,28.10,8.29,57.59
case_SyntheticUSA,largest,156255,1052085,solve,void perm_ker,1,"(1221, 1, 1)","(128, 1, 1)",5792.00,68.59,6.44,46.32,1.24
case_SyntheticUSA,largest,156255,1052085,solve,void perm_ker,1,"(1221, 1, 1)","(128, 1, 1)",7680.00,59.30,4.96,35.48,1.24
case_SyntheticUSA,largest,156255,1052085,solve,void upd_marker_bwd_ker,1,"(223, 1, 1)","(256, 1, 1)",3456.00,35.04,4.36,18.06,0.45
