case,tier,n,nnz,phase,kernel_rows,invocations_total,duration_ms_sum,max_duration_kernel,max_duration_ns,mean_achieved_occupancy_pct,mean_sm_throughput_pct,mean_dram_throughput_pct,max_grid_size
case5,tiny,5,17,factorize,5,6,0.032944,void factorize_v3_ker,17504.00,6.282000000000001,0.054000000000000006,0.6599999999999999,3
case5,tiny,5,17,solve,4,4,0.027424,void bwd_ker,12832.00,5.12,0.045000000000000005,0.22999999999999998,3
case118,small,181,1051,factorize,5,5,0.08944,void factorize_v3_ker,66304.00,8.52,1.286,0.374,218
case118,small,181,1051,solve,4,4,0.067744,void bwd_ker,37344.00,6.4725,0.6875,0.2225,100
case1197,medium,2392,14344,factorize,6,6,0.156064,void factorize_v3_ker,100896.00,19.81833333333333,8.49,1.8983333333333334,1598
case1197,medium,2392,14344,solve,6,6,0.100096,void bwd_ker,46176.00,15.573333333333332,4.096666666666667,0.85,1004
case6468rte,medium-large,12643,87845,factorize,6,6,0.63808,void factorize_v3_ker,521632.00,25.801666666666666,10.816666666666668,7.128333333333334,7392
case6468rte,medium-large,12643,87845,solve,6,6,0.18864,void fwd_ker,98464.00,17.961666666666666,10.903333333333334,3.778333333333333,5480
case_ACTIVSg25k,large,47246,318672,factorize,6,6,2.181792,void factorize_v3_ker,1696320.00,40.48166666666666,12.76,13.574999999999998,23633
case_ACTIVSg25k,large,47246,318672,solve,6,6,0.49504,void fwd_ker,245120.00,26.64,15.340000000000002,9.148333333333333,22342
case_ACTIVSg70k,very-large,134104,900558,factorize,6,6,5.248256,void factorize_v3_ker,3820512.00,45.443333333333335,14.681666666666667,18.103333333333335,64508
case_ACTIVSg70k,very-large,134104,900558,solve,6,6,1.03936,void fwd_ker,398848.00,41.175,17.95333333333333,18.778333333333332,64508
case_SyntheticUSA,largest,156255,1052085,factorize,6,6,5.506304,void factorize_v3_ker,3614176.00,45.78,14.54166666666667,19.01,75561
case_SyntheticUSA,largest,156255,1052085,solve,6,6,1.15968,void bwd_ker,436128.00,41.144999999999996,17.92833333333333,20.11,75561
