case,tier,n,nnz,phase,kind,wall_ms,runtime_api_ms,cuda_sync_api_ms,gpu_kernel_ms,gpu_kernel_count,kernel_over_wall,api_over_wall,sync_api_over_wall
case5,tiny,5,17,factorize,first,15.451,15.410933,0.01103,0.022336,6,0.0014456022263931137,0.9974068345090932,0.0007138696524496796
case5,tiny,5,17,factorize,warm_mean,0.0444255,0.039823750000000005,0.012997249999999998,0.0204165,6.0,0.45956714049363545,0.8964164725214123,0.2925628299062475
case5,tiny,5,17,solve,first,3.530798,3.502536,0.002856,0.01744,4,0.004939393304289852,0.9919955772037936,0.0008088822979960904
case5,tiny,5,17,solve,warm_mean,0.047003249999999996,0.043119500000000005,0.0101965,0.0162325,4.0,0.3453484599469186,0.9173727348640788,0.2169318079069001
case118,small,181,1051,factorize,first,15.909841,15.860419,0.052148,0.070529,6,0.004433042416954387,0.9968936207470583,0.0032777197459107226
case118,small,181,1051,factorize,warm_mean,0.09743299999999999,0.09156900000000001,0.060656,0.0677935,6.0,0.6957960855151747,0.9398150523949793,0.6225406176552093
case118,small,181,1051,solve,first,3.609756,3.577766,0.013826,0.048802,4,0.013519473338364145,0.9911379051658893,0.0038301757791939397
case118,small,181,1051,solve,warm_mean,0.079203,0.07481475,0.04193125,0.0472575,4.0,0.5966630051891975,0.9445949017082687,0.5294149211519766
case1197,medium,2392,14344,factorize,first,16.582691,16.536897,0.078798,0.11978,7,0.007223194353678785,0.9972384457986945,0.004751822246461687
case1197,medium,2392,14344,factorize,warm_mean,0.14813749999999998,0.1427695,0.1107175,0.11988325000000001,7.0,0.80927010378871,0.9637633954940512,0.7473968441481732
case1197,medium,2392,14344,solve,first,3.61172,3.573167,0.012494,0.082402,7,0.02281516839622119,0.9893255844860621,0.0034592936329505054
case1197,medium,2392,14344,solve,warm_mean,0.11688175,0.1114605,0.066637,0.0810185,7.0,0.6931663839735458,0.9536176520286529,0.5701232228299115
case6468rte,medium-large,12643,87845,factorize,first,16.609953,16.563336,0.425277,0.516142,7,0.03107426011380044,0.9971934297466103,0.025603744935340875
case6468rte,medium-large,12643,87845,factorize,warm_mean,0.5472932500000001,0.541391,0.5081275,0.518567,7.0,0.9475121427132528,0.9892155622237254,0.9284373596787461
case6468rte,medium-large,12643,87845,solve,first,3.880123,3.84061,0.171862,0.260168,7,0.06705148264629755,0.9898165599389503,0.044292925765497634
case6468rte,medium-large,12643,87845,solve,warm_mean,0.29384575,0.288667,0.24421775,0.25908775,7.0,0.8817134499988514,0.9823759574538682,0.8311086684085103
case_ACTIVSg25k,large,47246,318672,factorize,first,16.938959,16.893336,1.659791,1.783764,7,0.10530540867357904,0.9973066231519895,0.0979866000029872
case_ACTIVSg25k,large,47246,318672,factorize,warm_mean,1.8241290000000001,1.8186615,1.785409,1.7957710000000002,7.0,0.9844539503510992,0.9970026790868408,0.9787734310457209
case_ACTIVSg25k,large,47246,318672,solve,first,4.187709,4.15159,0.628578,0.71407,7,0.17051566859110792,0.9913749976419087,0.15010068751195463
case_ACTIVSg25k,large,47246,318672,solve,warm_mean,0.740926,0.7358825,0.69253325,0.70635625,7.0,0.9533425065391147,0.9931929774363432,0.9346861225007626
case_ACTIVSg70k,very-large,134104,900558,factorize,first,19.607571,19.55979,4.335947,4.488417,7,0.22891244407581132,0.9975631351787532,0.22113636615162582
case_ACTIVSg70k,very-large,134104,900558,factorize,warm_mean,4.4968710000000005,4.49068,4.4560172499999995,4.448855999999999,7.0,0.9893225756309217,0.9986232649324385,0.990915071835505
case_ACTIVSg70k,very-large,134104,900558,solve,first,5.301296,5.263187,1.267616,1.359782,7,0.2564999200195575,0.992811380462438,0.23911435996028144
case_ACTIVSg70k,very-large,134104,900558,solve,warm_mean,1.3969212500000001,1.39062725,1.34204275,1.3555505,7.0,0.9703843362680609,0.9954943773673712,0.9607146787981069
case_SyntheticUSA,largest,156255,1052085,factorize,first,19.41485,19.366308,4.450231,4.629158,7,0.2384338792213177,0.9974997489035454,0.22921789248951185
case_SyntheticUSA,largest,156255,1052085,factorize,warm_mean,4.71283825,4.706646999999999,4.671157750000001,4.6608625,7.0,0.9889714547279446,0.9986863011901584,0.9911559663648547
case_SyntheticUSA,largest,156255,1052085,solve,first,5.104197,5.060716,1.36086,1.467883,7,0.2875835317484807,0.9914813240946617,0.26661588492763894
case_SyntheticUSA,largest,156255,1052085,solve,warm_mean,1.50793625,1.5005885,1.448535,1.4659385,7.0,0.9721488557623044,0.995127280745456,0.9606075853670869
