case,tier,n,nnz,range,phase,wall_ms,runtime_api_ms,cuda_sync_api_ms,cudss_api_ms,gpu_kernel_ms,gpu_kernel_count,memcpy_ms,memcpy_count,memset_ms,memset_count,sync_activity_ms,sync_activity_count
case118,small,181,1051,cudss_analysis,analysis,15.000686,14.450177,0.026118,0.0,8.151851,67,0.037376,36,0.017441,24,0.014287,23
case118,small,181,1051,cudss_factorize_0,factorize,15.909841,15.860419,0.052148,0.0,0.070529,6,0.0,0,0.00368,4,0.049162,1
case118,small,181,1051,cudss_factorize_1,factorize,0.112511,0.098673,0.060494,0.0,0.068034,6,0.0,0,0.004096,4,0.060093,1
case118,small,181,1051,cudss_factorize_2,factorize,0.090079,0.086522,0.060583,0.0,0.067649,6,0.0,0,0.004001,4,0.060263,1
case118,small,181,1051,cudss_factorize_3,factorize,0.092474,0.089629,0.060593,0.0,0.067777,6,0.0,0,0.004064,4,0.060203,1
case118,small,181,1051,cudss_factorize_4,factorize,0.094668,0.091452,0.060954,0.0,0.067714,6,0.0,0,0.003648,4,0.060593,1
case118,small,181,1051,cudss_solve_0,solve,3.609756,3.577766,0.013826,0.0,0.048802,4,0.003616,4,0.00256,4,0.012894,1
case118,small,181,1051,cudss_solve_1,solve,0.087103,0.08108,0.04258,0.0,0.04909,4,0.003488,4,0.002592,4,0.042088,1
case118,small,181,1051,cudss_solve_2,solve,0.077094,0.072626,0.040987,0.0,0.046594,4,0.00352,4,0.00256,4,0.040667,1
case118,small,181,1051,cudss_solve_3,solve,0.075371,0.071695,0.041057,0.0,0.046721,4,0.00352,4,0.002592,4,0.040737,1
case118,small,181,1051,cudss_solve_4,solve,0.077244,0.073858,0.043101,0.0,0.046625,4,0.003488,4,0.002944,4,0.04263,1
case1197,medium,2392,14344,cudss_analysis,analysis,18.403364,15.660704,0.028362,0.0,9.652211,79,0.046531,41,0.024609,25,0.015414,28
case1197,medium,2392,14344,cudss_factorize_0,factorize,16.582691,16.536897,0.078798,0.0,0.11978,7,0.0,0,0.004736,4,0.076714,1
case1197,medium,2392,14344,cudss_factorize_1,factorize,0.159549,0.148558,0.109535,0.0,0.119171,7,0.0,0,0.004576,4,0.109114,1
case1197,medium,2392,14344,cudss_factorize_2,factorize,0.144471,0.140617,0.111529,0.0,0.120676,7,0.0,0,0.004544,4,0.111239,1
case1197,medium,2392,14344,cudss_factorize_3,factorize,0.142156,0.138911,0.110577,0.0,0.119587,7,0.0,0,0.004512,4,0.110247,1
case1197,medium,2392,14344,cudss_factorize_4,factorize,0.146374,0.142992,0.111229,0.0,0.120099,7,0.0,0,0.004576,4,0.110817,1
case1197,medium,2392,14344,cudss_solve_0,solve,3.61172,3.573167,0.012494,0.0,0.082402,7,0.00352,4,0.004064,4,0.011782,1
case1197,medium,2392,14344,cudss_solve_1,solve,0.12284,0.115394,0.066564,0.0,0.082179,7,0.003552,4,0.003744,4,0.066124,1
case1197,medium,2392,14344,cudss_solve_2,solve,0.113172,0.108481,0.067025,0.0,0.080451,7,0.003552,4,0.003968,4,0.066665,1
case1197,medium,2392,14344,cudss_solve_3,solve,0.113273,0.108746,0.068488,0.0,0.080674,7,0.003488,4,0.004384,4,0.068128,1
case1197,medium,2392,14344,cudss_solve_4,solve,0.118242,0.113221,0.064471,0.0,0.08077,7,0.00352,4,0.004032,4,0.06406,1
case5,tiny,5,17,cudss_analysis,analysis,14.461165,14.186102,0.020349,0.0,7.898594,55,0.030337,30,0.01408,24,0.010551,17
case5,tiny,5,17,cudss_factorize_0,factorize,15.451,15.410933,0.01103,0.0,0.022336,6,0.0,0,0.002304,4,0.009708,1
