case,tier,n,nnz,phase,ranges,wall_ms_mean,runtime_api_ms_mean,cuda_sync_api_ms_mean,cudss_api_ms_mean,gpu_kernel_ms_mean,gpu_kernel_count_mean,memcpy_ms_mean,memcpy_count_mean,memset_ms_mean,memset_count_mean,sync_activity_ms_mean,sync_activity_count_mean,kernel_over_wall,api_over_wall,sync_api_over_wall
case5,tiny,5,17,analysis,1,14.461165,14.186102,0.020349,0.0,7.898594,55.0,0.030337,30.0,0.01408,24.0,0.010551,17.0,0.5461934774964534,0.9809791949680403,0.0014071480409773348
case5,tiny,5,17,factorize,5,3.1257404,3.1140456,0.012603799999999998,0.0,0.0208004,6.0,0.0,0.0,0.0026048,4.0,0.0120386,1.0,0.0066545513504576385,0.9962585504541579,0.004032260644550007
case5,tiny,5,17,solve,5,0.7437622,0.7350028,0.0087284,0.0,0.016474,4.0,0.0035968,4.0,0.0023746,4.0,0.0081754,1.0,0.02214955263927099,0.988222848647054,0.011735471364368881
case118,small,181,1051,analysis,1,15.000686,14.450177,0.026118,0.0,8.151851,67.0,0.037376,36.0,0.017441,24.0,0.014287,23.0,0.5434318803820039,0.9633010783640161,0.001741120372761619
case118,small,181,1051,factorize,5,3.2599145999999997,3.245339,0.0589544,0.0,0.0683406,6.0,0.0,0.0,0.0038978,4.0,0.058062800000000005,1.0,0.02096392341075438,0.9955288399272791,0.01808464553028475
case118,small,181,1051,solve,5,0.7853136,0.775405,0.0363102,0.0,0.0475664,4.0,0.0035264000000000003,4.0,0.0026496000000000002,4.0,0.0358032,1.0,0.06056994301384823,0.9873826201405401,0.04623656078285159
case1197,medium,2392,14344,analysis,1,18.403364,15.660704,0.028362,0.0,9.652211,79.0,0.046531,41.0,0.024609,25.0,0.015414,28.0,0.5244807960109902,0.8509696379422806,0.0015411312844760337
case1197,medium,2392,14344,factorize,5,3.4350481999999998,3.421595,0.1043336,0.0,0.1198626,7.0,0.0,0.0,0.0045888000000000005,4.0,0.10362619999999997,1.0,0.03489400818305839,0.9960835484055217,0.03037325648006919
case1197,medium,2392,14344,solve,5,0.8158494000000001,0.8038017999999999,0.0558084,0.0,0.0812952,7.0,0.0035264,4.0,0.0040384,4.0,0.05535179999999999,1.0,0.09964486092653864,0.985233058944457,0.06840527185532036
case6468rte,medium-large,12643,87845,analysis,1,38.528996,18.468055,0.040758,0.0,11.739509,104.0,0.077316,52.0,0.028865,25.0,0.022461,39.0,0.3046928344564182,0.4793287372450608,0.0010578526364922668
case6468rte,medium-large,12643,87845,factorize,5,3.7598251999999994,3.7457800000000008,0.49155740000000003,0.0,0.518082,7.0,0.0,0.0,0.0049727999999999994,4.0,0.4908378,1.0,0.1377941719205457,0.9962644008024631,0.13073942905643596
case6468rte,medium-large,12643,87845,solve,5,1.0111012000000001,0.9990555999999999,0.2297466,0.0,0.2593038,7.0,0.0037250000000000004,4.0,0.004109,4.0,0.22921779999999997,1.0,0.25645682153280003,0.9880866524537799,0.22722413938387173
case_ACTIVSg25k,large,47246,318672,analysis,1,97.658133,25.826159,0.045526,0.0,18.348078,142.0,0.15991,68.0,0.058306,25.0,0.02752,55.0,0.18788069601944982,0.2644547689643012,0.00046617725120753635
case_ACTIVSg25k,large,47246,318672,factorize,5,4.847095,4.8335964,1.7602854000000001,0.0,1.7933696000000001,7.0,0.0,0.0,0.0106762,4.0,1.7596324000000003,1.0,0.3699885395272839,0.9972151154454368,0.36316296668416853
case_ACTIVSg25k,large,47246,318672,solve,5,1.4302826,1.419024,0.6797422,0.0,0.707899,7.0,0.0045248,4.0,0.004179199999999999,4.0,0.6792313999999999,1.0,0.49493645521521407,0.9921284087494319,0.4752502757147434
case_ACTIVSg70k,very-large,134104,900558,analysis,1,251.818651,36.915413,0.053221,0.0,26.490404,168.0,0.782201,83.0,0.125379,25.0,0.031001,67.0,0.10519635418108884,0.1465952297552416,0.00021134653763195643
case_ACTIVSg70k,very-large,134104,900558,factorize,5,7.519011000000001,7.504502,4.4320032,0.0,4.456768200000001,7.0,0.0,0.0,0.0285258,4.0,4.4311511999999995,1.0,0.5927332996320926,0.9980703579234023,0.5894396483792881
case_ACTIVSg70k,very-large,134104,900558,solve,5,2.1777962,2.1651392,1.3271574,0.0,1.3563968,7.0,0.009881999999999998,4.0,0.0044802,4.0,1.3264382,1.0,0.6228299966727833,0.9941881614083081,0.6094038551449397
case_SyntheticUSA,largest,156255,1052085,analysis,1,309.523482,39.177206,0.055782,0.0,28.32917,179.0,1.227234,89.0,0.14164,25.0,0.032576,71.0,0.09152510761687542,0.12657264562563947,0.00018021895993015482
case_SyntheticUSA,largest,156255,1052085,factorize,5,7.653240600000001,7.638579200000001,4.6269724,0.0,4.654521600000001,7.0,0.0,0.0,0.031674600000000004,4.0,4.626049,1.0,0.6081765677143353,0.9980842886345426,0.6045768899516891
case_SyntheticUSA,largest,156255,1052085,solve,5,2.2271884,2.212614,1.431,0.0,1.4663274,7.0,0.0099328,4.0,0.0045056,4.0,1.430429,1.0,0.6583760044727244,0.9934561440783365,0.6425141222897892
