case,n,phase,range,runtime_call,count,time_ms
case118,181,factorize,cudss_factorize_0,cudaLaunchKernel_v7000,6,15.790096
case118,181,factorize,cudss_factorize_0,cudaDeviceSynchronize_v3020,1,0.052148
case118,181,factorize,cudss_factorize_0,cudaMemsetAsync_v3020,4,0.013787
case118,181,factorize,cudss_factorize_0,cudaMalloc_v3020,1,0.004388
case118,181,factorize,cudss_factorize_1,cudaDeviceSynchronize_v3020,1,0.060494
case118,181,factorize,cudss_factorize_1,cudaLaunchKernel_v7000,6,0.019686
case118,181,factorize,cudss_factorize_1,cudaMemsetAsync_v3020,4,0.018493
case118,181,solve,cudss_solve_0,cudaLaunchKernel_v7000,4,3.526149
case118,181,solve,cudss_solve_0,cudaMemcpy2DAsync_v3020,2,0.01641
case118,181,solve,cudss_solve_0,cudaDeviceSynchronize_v3020,1,0.013826
case118,181,solve,cudss_solve_0,cudaMemcpyAsync_v3020,2,0.01037
case118,181,solve,cudss_solve_0,cudaMemsetAsync_v3020,4,0.010299
case118,181,solve,cudss_solve_0,cudaMalloc_v3020,1,0.000712
case118,181,solve,cudss_solve_1,cudaDeviceSynchronize_v3020,1,0.04258
case118,181,solve,cudss_solve_1,cudaLaunchKernel_v7000,4,0.013014
case118,181,solve,cudss_solve_1,cudaMemsetAsync_v3020,4,0.008855
case118,181,solve,cudss_solve_1,cudaMemcpyAsync_v3020,2,0.008376
case118,181,solve,cudss_solve_1,cudaMemcpy2DAsync_v3020,2,0.008045
case118,181,solve,cudss_solve_1,cudaMalloc_v3020,1,0.00021
case1197,2392,factorize,cudss_factorize_0,cudaLaunchKernel_v7000,7,16.358323
case1197,2392,factorize,cudss_factorize_0,cudaDeviceSynchronize_v3020,1,0.078798
case1197,2392,factorize,cudss_factorize_0,cudaMalloc_v3020,1,0.076723
case1197,2392,factorize,cudss_factorize_0,cudaMemsetAsync_v3020,4,0.023053
case1197,2392,factorize,cudss_factorize_1,cudaDeviceSynchronize_v3020,1,0.109535
case1197,2392,factorize,cudss_factorize_1,cudaLaunchKernel_v7000,7,0.021671
case1197,2392,factorize,cudss_factorize_1,cudaMemsetAsync_v3020,4,0.017352
case1197,2392,solve,cudss_solve_0,cudaLaunchKernel_v7000,7,3.523274
case1197,2392,solve,cudss_solve_0,cudaMemcpy2DAsync_v3020,2,0.014757
case1197,2392,solve,cudss_solve_0,cudaDeviceSynchronize_v3020,1,0.012494
case1197,2392,solve,cudss_solve_0,cudaMemsetAsync_v3020,4,0.012252
case1197,2392,solve,cudss_solve_0,cudaMemcpyAsync_v3020,2,0.010149
case1197,2392,solve,cudss_solve_0,cudaMalloc_v3020,1,0.000241
case1197,2392,solve,cudss_solve_1,cudaDeviceSynchronize_v3020,1,0.066564
case1197,2392,solve,cudss_solve_1,cudaLaunchKernel_v7000,7,0.024274
case1197,2392,solve,cudss_solve_1,cudaMemsetAsync_v3020,4,0.01045
case1197,2392,solve,cudss_solve_1,cudaMemcpy2DAsync_v3020,2,0.008055
case1197,2392,solve,cudss_solve_1,cudaMemcpyAsync_v3020,2,0.005891
case1197,2392,solve,cudss_solve_1,cudaMalloc_v3020,1,0.00016
case5,5,factorize,cudss_factorize_0,cudaLaunchKernel_v7000,6,15.385967
case5,5,factorize,cudss_factorize_0,cudaDeviceSynchronize_v3020,1,0.01103
case5,5,factorize,cudss_factorize_0,cudaMemsetAsync_v3020,4,0.009688
case5,5,factorize,cudss_factorize_0,cudaMalloc_v3020,1,0.004248
case5,5,factorize,cudss_factorize_1,cudaLaunchKernel_v7000,6,0.022173
case5,5,factorize,cudss_factorize_1,cudaMemsetAsync_v3020,4,0.012894
case5,5,factorize,cudss_factorize_1,cudaDeviceSynchronize_v3020,1,0.012183
case5,5,solve,cudss_solve_0,cudaLaunchKernel_v7000,4,3.465314
case5,5,solve,cudss_solve_0,cudaMemcpy2DAsync_v3020,2,0.014978
case5,5,solve,cudss_solve_0,cudaMemsetAsync_v3020,4,0.00996
case5,5,solve,cudss_solve_0,cudaMemcpyAsync_v3020,2,0.009208
case5,5,solve,cudss_solve_0,cudaDeviceSynchronize_v3020,1,0.002856
case5,5,solve,cudss_solve_0,cudaMalloc_v3020,1,0.00022
case5,5,solve,cudss_solve_1,cudaLaunchKernel_v7000,4,0.012564
case5,5,solve,cudss_solve_1,cudaDeviceSynchronize_v3020,1,0.01056
case5,5,solve,cudss_solve_1,cudaMemsetAsync_v3020,4,0.008447
case5,5,solve,cudss_solve_1,cudaMemcpy2DAsync_v3020,2,0.007655
case5,5,solve,cudss_solve_1,cudaMemcpyAsync_v3020,2,0.005601
case5,5,solve,cudss_solve_1,cudaMalloc_v3020,1,0.00015
case6468rte,12643,factorize,cudss_factorize_0,cudaLaunchKernel_v7000,7,15.976936
case6468rte,12643,factorize,cudss_factorize_0,cudaDeviceSynchronize_v3020,1,0.425277
case6468rte,12643,factorize,cudss_factorize_0,cudaMalloc_v3020,1,0.142467
case6468rte,12643,factorize,cudss_factorize_0,cudaMemsetAsync_v3020,4,0.018656
case6468rte,12643,factorize,cudss_factorize_1,cudaDeviceSynchronize_v3020,1,0.505928
case6468rte,12643,factorize,cudss_factorize_1,cudaLaunchKernel_v7000,7,0.022154
case6468rte,12643,factorize,cudss_factorize_1,cudaMemsetAsync_v3020,4,0.017934
case6468rte,12643,solve,cudss_solve_0,cudaLaunchKernel_v7000,7,3.626527
case6468rte,12643,solve,cudss_solve_0,cudaDeviceSynchronize_v3020,1,0.171862
case6468rte,12643,solve,cudss_solve_0,cudaMemcpy2DAsync_v3020,2,0.016932
case6468rte,12643,solve,cudss_solve_0,cudaMemsetAsync_v3020,4,0.012484
case6468rte,12643,solve,cudss_solve_0,cudaMemcpyAsync_v3020,2,0.012484
case6468rte,12643,solve,cudss_solve_0,cudaMalloc_v3020,1,0.000321
case6468rte,12643,solve,cudss_solve_1,cudaDeviceSynchronize_v3020,1,0.242935
case6468rte,12643,solve,cudss_solve_1,cudaLaunchKernel_v7000,7,0.023705
case6468rte,12643,solve,cudss_solve_1,cudaMemsetAsync_v3020,4,0.010801
case6468rte,12643,solve,cudss_solve_1,cudaMemcpy2DAsync_v3020,2,0.008897
case6468rte,12643,solve,cudss_solve_1,cudaMemcpyAsync_v3020,2,0.006412
case6468rte,12643,solve,cudss_solve_1,cudaMalloc_v3020,1,0.00019
case_ACTIVSg25k,47246,factorize,cudss_factorize_0,cudaLaunchKernel_v7000,7,15.116243
case_ACTIVSg25k,47246,factorize,cudss_factorize_0,cudaDeviceSynchronize_v3020,1,1.659791
case_ACTIVSg25k,47246,factorize,cudss_factorize_0,cudaMalloc_v3020,1,0.098375
case_ACTIVSg25k,47246,factorize,cudss_factorize_0,cudaMemsetAsync_v3020,4,0.018927
case_ACTIVSg25k,47246,factorize,cudss_factorize_1,cudaDeviceSynchronize_v3020,1,1.756322
case_ACTIVSg25k,47246,factorize,cudss_factorize_1,cudaLaunchKernel_v7000,7,0.026209
case_ACTIVSg25k,47246,factorize,cudss_factorize_1,cudaMemsetAsync_v3020,4,0.017663
case_ACTIVSg25k,47246,solve,cudss_solve_0,cudaLaunchKernel_v7000,7,3.48408
case_ACTIVSg25k,47246,solve,cudss_solve_0,cudaDeviceSynchronize_v3020,1,0.628578
case_ACTIVSg25k,47246,solve,cudss_solve_0,cudaMemcpy2DAsync_v3020,2,0.014456
case_ACTIVSg25k,47246,solve,cudss_solve_0,cudaMemsetAsync_v3020,4,0.014427
case_ACTIVSg25k,47246,solve,cudss_solve_0,cudaMemcpyAsync_v3020,2,0.009898
case_ACTIVSg25k,47246,solve,cudss_solve_0,cudaMalloc_v3020,1,0.000151
case_ACTIVSg25k,47246,solve,cudss_solve_1,cudaDeviceSynchronize_v3020,1,0.695353
case_ACTIVSg25k,47246,solve,cudss_solve_1,cudaLaunchKernel_v7000,7,0.02127
case_ACTIVSg25k,47246,solve,cudss_solve_1,cudaMemsetAsync_v3020,4,0.01074
case_ACTIVSg25k,47246,solve,cudss_solve_1,cudaMemcpy2DAsync_v3020,2,0.007845
case_ACTIVSg25k,47246,solve,cudss_solve_1,cudaMemcpyAsync_v3020,2,0.006162
case_ACTIVSg25k,47246,solve,cudss_solve_1,cudaMalloc_v3020,1,0.000651
case_ACTIVSg70k,134104,factorize,cudss_factorize_0,cudaLaunchKernel_v7000,7,14.998521
case_ACTIVSg70k,134104,factorize,cudss_factorize_0,cudaDeviceSynchronize_v3020,1,4.335947
case_ACTIVSg70k,134104,factorize,cudss_factorize_0,cudaMalloc_v3020,1,0.201087
case_ACTIVSg70k,134104,factorize,cudss_factorize_0,cudaMemsetAsync_v3020,4,0.024235
case_ACTIVSg70k,134104,factorize,cudss_factorize_1,cudaDeviceSynchronize_v3020,1,4.459238
case_ACTIVSg70k,134104,factorize,cudss_factorize_1,cudaLaunchKernel_v7000,7,0.022701
case_ACTIVSg70k,134104,factorize,cudss_factorize_1,cudaMemsetAsync_v3020,4,0.019107
case_ACTIVSg70k,134104,solve,cudss_solve_0,cudaLaunchKernel_v7000,7,3.949903
case_ACTIVSg70k,134104,solve,cudss_solve_0,cudaDeviceSynchronize_v3020,1,1.267616
case_ACTIVSg70k,134104,solve,cudss_solve_0,cudaMemcpy2DAsync_v3020,2,0.020659
case_ACTIVSg70k,134104,solve,cudss_solve_0,cudaMemsetAsync_v3020,4,0.013396
case_ACTIVSg70k,134104,solve,cudss_solve_0,cudaMemcpyAsync_v3020,2,0.011222
case_ACTIVSg70k,134104,solve,cudss_solve_0,cudaMalloc_v3020,1,0.000391
case_ACTIVSg70k,134104,solve,cudss_solve_1,cudaDeviceSynchronize_v3020,1,1.341485
case_ACTIVSg70k,134104,solve,cudss_solve_1,cudaLaunchKernel_v7000,7,0.025027
case_ACTIVSg70k,134104,solve,cudss_solve_1,cudaMemcpy2DAsync_v3020,2,0.011642
case_ACTIVSg70k,134104,solve,cudss_solve_1,cudaMemsetAsync_v3020,4,0.010959
case_ACTIVSg70k,134104,solve,cudss_solve_1,cudaMemcpyAsync_v3020,2,0.006152
case_ACTIVSg70k,134104,solve,cudss_solve_1,cudaMalloc_v3020,1,0.00016
case_SyntheticUSA,156255,factorize,cudss_factorize_0,cudaLaunchKernel_v7000,7,14.644348
case_SyntheticUSA,156255,factorize,cudss_factorize_0,cudaDeviceSynchronize_v3020,1,4.450231
case_SyntheticUSA,156255,factorize,cudss_factorize_0,cudaMalloc_v3020,1,0.252393
case_SyntheticUSA,156255,factorize,cudss_factorize_0,cudaMemsetAsync_v3020,4,0.019336
case_SyntheticUSA,156255,factorize,cudss_factorize_1,cudaDeviceSynchronize_v3020,1,4.64674
case_SyntheticUSA,156255,factorize,cudss_factorize_1,cudaLaunchKernel_v7000,7,0.023105
case_SyntheticUSA,156255,factorize,cudss_factorize_1,cudaMemsetAsync_v3020,4,0.02182
case_SyntheticUSA,156255,solve,cudss_solve_0,cudaLaunchKernel_v7000,7,3.649492
case_SyntheticUSA,156255,solve,cudss_solve_0,cudaDeviceSynchronize_v3020,1,1.36086
case_SyntheticUSA,156255,solve,cudss_solve_0,cudaMemcpy2DAsync_v3020,2,0.023674
case_SyntheticUSA,156255,solve,cudss_solve_0,cudaMemsetAsync_v3020,4,0.015639
case_SyntheticUSA,156255,solve,cudss_solve_0,cudaMemcpyAsync_v3020,2,0.01067
case_SyntheticUSA,156255,solve,cudss_solve_0,cudaMalloc_v3020,1,0.000381
case_SyntheticUSA,156255,solve,cudss_solve_1,cudaDeviceSynchronize_v3020,1,1.452232
case_SyntheticUSA,156255,solve,cudss_solve_1,cudaLaunchKernel_v7000,7,0.022021
case_SyntheticUSA,156255,solve,cudss_solve_1,cudaMemcpy2DAsync_v3020,2,0.011963
case_SyntheticUSA,156255,solve,cudss_solve_1,cudaMemsetAsync_v3020,4,0.01112
case_SyntheticUSA,156255,solve,cudss_solve_1,cudaMemcpyAsync_v3020,2,0.006452
case_SyntheticUSA,156255,solve,cudss_solve_1,cudaMalloc_v3020,1,0.0002
