case,n,nnz,phase,range,wall_ms,gpu_activity_union_ms,gpu_kernel_sum_ms,gpu_kernel_count,memcpy_sum_ms,memcpy_count,memset_sum_ms,memset_count,runtime_api_union_ms,runtime_api_sum_ms,runtime_api_count,cuda_sync_api_union_ms,gpu_idle_or_host_ms,gpu_idle_or_host_ratio,host_outside_cuda_api_ms,host_outside_cuda_api_ratio,sync_activity_ms,sync_activity_count
case4_dist,5,17,reordering,cudss_reordering,8.404164,2.58484,2.565511,9,0.016161,20,0.003168,6,7.098505,7.098505,52,0.019125,5.819324,0.6924334175296912,1.305659,0.15535858176970369,0.011772,9
case4_dist,5,17,symbolic_factorization,cudss_symbolic_factorization,7.404844,5.353842,5.323953,44,0.019936,18,0.009953,18,7.250625,7.250625,96,0.010278,2.051002,0.27698112208710945,0.154219,0.020826772312826577,0.006822,10
case4gs,5,17,reordering,cudss_reordering,8.480527,2.586663,2.567079,9,0.016512,20,0.003072,6,7.115831,7.115831,52,0.019958,5.893864,0.6949879411975223,1.364696,0.1609211314344026,0.012435,9
case4gs,5,17,symbolic_factorization,cudss_symbolic_factorization,7.422256,5.362677,5.331989,46,0.021056,19,0.009632,18,7.277976,7.277976,100,0.011131,2.059579,0.2774869258080023,0.14428,0.019438833691535297,0.007291,11
case5,5,17,reordering,cudss_reordering,8.344864,2.584584,2.565543,9,0.016033,20,0.003008,6,7.0139,7.0139,52,0.020168,5.76028,0.6902784754790492,1.330964,0.15949498997227515,0.012394,9
case5,5,17,symbolic_factorization,cudss_symbolic_factorization,7.523125,5.366228,5.334388,46,0.021504,19,0.010336,18,7.362418,7.362418,100,0.011943,2.156897,0.28670226800697846,0.160707,0.021361734651491236,0.008065,11
case6ww,8,52,reordering,cudss_reordering,8.442036,2.589766,2.570246,9,0.016416,20,0.003104,6,7.087819,7.087819,52,0.020017,5.85227,0.6932296900889785,1.354217,0.1604135542658193,0.012234,9
case6ww,8,52,symbolic_factorization,cudss_symbolic_factorization,7.535548,5.369493,5.338612,46,0.020577,19,0.010304,18,7.377349,7.377349,100,0.011893,2.166055,0.2874449210594903,0.158199,0.02099369548173537,0.007743,11
case9,14,82,reordering,cudss_reordering,8.494284,2.590311,2.570791,9,0.016416,20,0.003104,6,7.102952,7.102952,52,0.020516,5.903973,0.6950524611609407,1.391332,0.16379626581828438,0.012023,9
case9,14,82,symbolic_factorization,cudss_symbolic_factorization,7.550667,5.39058,5.357875,48,0.021761,20,0.010944,18,7.403168,7.403168,104,0.011761,2.160087,0.2860789649444215,0.147499,0.019534565621818576,0.007857,12
case9Q,14,82,reordering,cudss_reordering,18.380101,2.590824,2.570823,9,0.016928,20,0.003073,6,7.364815,7.364815,52,0.020806,15.789277,0.8590419062441496,11.015286,0.5993049766157433,0.012282,9
case9Q,14,82,symbolic_factorization,cudss_symbolic_factorization,7.669068,5.391669,5.358069,48,0.022048,20,0.011552,18,7.508724,7.508724,104,0.012321,2.277399,0.29695903074532654,0.160344,0.02090788606907645,0.008254,12
case9target,14,82,reordering,cudss_reordering,8.399476,2.590279,2.570854,9,0.016321,20,0.003104,6,7.048176,7.048176,52,0.02138,5.809197,0.6916142149819822,1.3513,0.16087908340948887,0.013267,9
