case,n_bus,ybus_nnz,cudss_ok_runs,custom_ok_runs,cudss_converged_runs,custom_converged_runs,cudss_initialize_mean_ms,custom_initialize_mean_ms,initialize_custom_over_cudss,cudss_solve_mean_ms,custom_solve_mean_ms,solve_custom_over_cudss,cudss_total_mean_ms,custom_total_mean_ms,total_custom_over_cudss,status
case10ba,10,28,10,10,10,10,18.15162860439159,0.6801339040976018,0.03746958021899207,0.5591912078671157,0.5239884019829333,0.9370469252933106,18.710819812258705,1.204122306080535,0.06435433178035493,ok
case118,118,476,10,10,10,10,19.227205199422315,0.8876309031620622,0.04616536277403079,0.640106009086594,0.6119572033639997,0.9560247750794255,19.86731120850891,1.499588106526062,0.07548017397964793,ok
case118zh,118,352,10,10,10,10,18.91234879149124,0.8164746046531945,0.04317150733919049,0.763612607261166,0.6352616939693689,0.8319161940605582,19.675961398752406,1.4517362986225635,0.07378222945256509,ok
case1197,1197,3589,10,10,10,10,26.64798690821044,2.750739606563002,0.10322504345405088,1.0313723993021995,0.8921174972783774,0.864980968932232,27.67935930751264,3.6428571038413793,0.13160915552162536,ok
case12da,12,34,10,10,10,10,18.170697492314503,0.6746428145561367,0.03712806373236274,0.4675706091802567,0.4364171880297363,0.9333717292343534,18.63826810149476,1.111060002585873,0.059611762022930004,ok
case1354pegase,1354,4774,10,10,10,10,29.775575088569894,4.409376397961751,0.14808702719748312,1.9622916064690799,1.713701500557363,0.8733164300901096,31.737866695038974,6.123077898519114,0.19292657434585,ok
case13659pegase,13659,50909,10,10,10,10,108.60187401412986,43.28408322180621,0.39855742467367233,9.025467885658145,7.657906092936173,0.84847746288089,117.62734189978801,50.941989314742386,0.4330794906352823,ok
case136ma,136,406,10,10,10,10,18.936324008973315,0.8051983895711601,0.04252136735670568,0.7093796040862799,0.5865686049219221,0.8268754860487635,19.645703613059595,1.3917669944930822,0.07084332645474184,ok
case14,14,54,10,10,10,10,18.19108580239117,0.6893843819852918,0.03789682427283555,0.33960260334424675,0.3048806160222739,0.8977570048637818,18.530688405735418,0.9942649980075657,0.05365504919395394,ok
case141,141,421,10,10,10,10,19.21056979917921,0.8932505152188241,0.04649786677628839,0.6539059977512807,0.6281598936766386,0.9606272091658734,19.864475796930492,1.5214104088954628,0.07658950704002744,ok
case145,145,989,10,10,10,10,19.73469650838524,1.0749821143690497,0.054471682091097345,0.7824086933396757,0.7593035814352334,0.9704692546221346,20.517105201724917,1.834285695804283,0.08940275334992534,ok
case15da,15,43,10,10,10,10,18.21857929462567,0.7149142911657691,0.03924094626723517,0.4779148905072361,0.40730240871198475,0.8522488351005204,18.696494185132906,1.1222166998777539,0.060022841114786056,ok
case15nbr,15,43,10,10,10,10,18.20530121331103,0.7098966103512794,0.0389939502803848,0.4902301880065352,0.4215794906485826,0.859962321706232,18.695531401317567,1.131476100999862,0.06052120566736719,ok
case16am,15,43,10,10,10,10,18.120131792966276,0.6785018020309508,0.03744463946417465,0.6760544143617153,0.5942340125329792,0.8789736445904501,18.79618620732799,1.27273581456393,0.06771244977705816,ok
case16ci,16,42,10,10,10,10,18.180573894642293,0.6915102945640683,0.03803566920227157,0.42403399711474776,0.35457980120554566,0.8362060674809357,18.60460789175704,1.046090095769614,0.05622747342248985,ok
case17me,17,49,10,10,10,10,18.263909098459408,0.7081637042574584,0.03877393938175006,0.6007815012708306,0.522360292961821,0.8694680043524549,18.86469059973024,1.2305239972192794,0.06522895197851142,ok
case18,18,52,10,10,10,10,18.25702820206061,0.7058742921799421,0.03866315395734956,0.6227133970241994,0.5521240003872663,0.886642238669887,18.87974159908481,1.2579982925672084,0.06663217745671846,ok
case1888rte,1888,6504,10,10,10,10,32.10164669435471,5.8083927957341075,0.18093753417190128,1.2026246055029333,1.0923640977125615,0.9083167704320657,33.304271299857646,6.900756893446669,0.2072033593323558,ok
case18nbr,18,52,10,10,10,10,18.289428914431483,0.7291830086614937,0.03986909662805947,0.5061928881332278,0.45877000666223466,0.906314603419494,18.79562180256471,1.1879530153237283,0.06320370923624506,ok
case1951rte,1951,6701,10,10,10,10,32.497294299537316,6.172084709396586,0.18992611054036157,1.8820804136339575,1.4488099957816303,0.7697917609079411,34.37937471317127,7.620894705178216,0.22167054429464456,ok
case22,22,64,10,10,10,10,18.250568106304854,0.7130780024453998,0.03907155099457202,0.4825224925298244,0.451686599990353,0.9360943934907543,18.73309059883468,1.1647646024357527,0.06217685204107264,ok
case2383wp,2383,8155,10,10,10,10,35.686288704164326,6.314841198036447,0.17695427087937984,3.526600293116644,3.022550593595952,0.8570720644172474,39.21288899728097,9.337391791632399,0.23812047595574648,ok
case24_ieee_rts,24,92,10,10,10,10,18.328538292553276,0.7304924074560404,0.03985546451092791,0.6130222056526691,0.5924496683292091,0.9664407958900005,18.941560498205945,1.3229420757852495,0.06984335191974031,ok
case2736sp,2736,9262,10,10,10,10,38.76356160035357,7.583736203378066,0.1956408516215624,2.811275311978534,2.347363706212491,0.8349817949919857,41.5748369123321,9.931099909590557,0.2388728530801465,ok
