case,backend,repeat,status,initialize_ms,solve_ms,total_ms,iterations,final_mismatch,converged,n_bus,ybus_nnz,n_pv,n_pq,error
case10ba,cudss,1,ok,18.225417006760836,0.5681850016117096,18.793602008372545,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,1,ok,0.716332986485213,0.518332002684474,1.234664989169687,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,2,ok,18.15446396358311,0.5709099932573736,18.725373956840485,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,2,ok,0.7344570476561785,0.5279599572531879,1.2624170049093664,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,3,ok,18.10387900331989,0.5610520020127296,18.66493100533262,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,3,ok,0.6449489737860858,0.5184020265005529,1.1633510002866387,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,4,ok,18.163450993597507,0.5546390311792493,18.718090024776757,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,4,ok,0.7039899937808514,0.5324780358932912,1.2364680296741426,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,5,ok,18.13584001502022,0.5511629860848188,18.68700300110504,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,5,ok,0.6786619778722525,0.5377479828894138,1.2164099607616663,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,6,ok,18.113797006662935,0.5553110386244953,18.66910804528743,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,6,ok,0.63065200811252,0.5139739951118827,1.1446260032244027,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,7,ok,18.21163104614243,0.5539690027944744,18.765600048936903,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,7,ok,0.6425140309147537,0.5227999645285308,1.1653139954432845,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,8,ok,18.124327005352825,0.5695680156350136,18.69389502098784,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,8,ok,0.707667029928416,0.529241980984807,1.236909010913223,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,9,ok,18.12519901432097,0.5533670191653073,18.678566033486277,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,9,ok,0.6413820083253086,0.5040350370109081,1.1454170453362167,5,1.4528378500244798e-12,True,10,28,0,9,
case10ba,cudss,10,ok,18.158280989155173,0.5537479883059859,18.71202897746116,5,1.453642761717333e-12,True,10,28,0,9,
case10ba,custom,10,ok,0.7007329841144383,0.5349130369722843,1.2356460210867226,5,1.4528378500244798e-12,True,10,28,0,9,
case118,cudss,1,ok,19.227876036893576,0.6302319816313684,19.858108018524945,4,1.5100037978266185e-12,True,118,476,53,64,
case118,custom,1,ok,0.8792180451564491,0.6046329508535564,1.4838509960100055,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,2,ok,19.22407903475687,0.6251820013858378,19.849261036142707,4,1.518674116495918e-12,True,118,476,53,64,
case118,custom,2,ok,0.8620659937150776,0.6039220024831593,1.465987996198237,4,1.4944836686786803e-12,True,118,476,53,64,
case118,cudss,3,ok,19.267209980171174,0.6347700254991651,19.90198000567034,4,1.5109140519219495e-12,True,118,476,53,64,
