case,n,nnz,cudss_ok_runs,custom_ok_runs,cudss_analyze_mean_ms,custom_analyze_mean_ms,analyze_custom_over_cudss,cudss_factorize_mean_ms,custom_factorize_mean_ms,factorize_custom_over_cudss,cudss_solve_mean_ms,custom_solve_mean_ms,solve_custom_over_cudss,cudss_relative_residual_l2_mean,custom_relative_residual_l2_mean,status
case10ba,18,100,10,10,17.04231,1.332828,0.07820700362802929,0.0499475,0.0370563,0.7419050002502628,0.0415137,0.0274602,0.6614732004133576,5.0096e-15,4.64526e-15,ok
case118,181,1051,10,10,14.05246,1.546277,0.1100360363950511,0.0802334,0.0560261,0.6982889918662303,0.0587188,0.0528376,0.8998412774103013,5.064972e-16,5.06566e-16,ok
case118zh,234,1380,10,10,20.49437,1.50184,0.0732806131635176,0.08031239999999999,0.0411031,0.5117902092329454,0.05476760000000001,0.042633899999999995,0.7784511280392055,1.9056329999999998e-14,3.206025e-14,ok
case1197,2392,14344,10,10,28.451909999999998,3.3883,0.11908866575214108,0.1377961,0.1014971,0.7365745474654217,0.0952645,0.08484810000000001,0.890658115037606,1.720894e-13,3.2000099999999997e-13,ok
case12da,22,124,10,10,13.755170000000001,1.337688,0.09724983406239253,0.0546102,0.037839899999999996,0.6929090169968247,0.0432209,0.0327205,0.7570527221783906,2.00907e-14,2.65895e-14,ok
case1354pegase,2447,15803,10,10,28.121969999999997,4.918598,0.17490232725516744,0.22992479999999998,0.1744688,0.7588080972561464,0.1378132,0.1292972,0.9382062095648313,7.287583e-15,6.0342249999999996e-15,ok
case13659pegase,23225,174703,10,10,48.15462,42.30022,0.8784249569407878,1.164628,0.8300288,0.712698647121656,0.4350278,0.3963511,0.9110937278031427,2.712552e-13,2.613411e-13,ok
case136ma,270,1556,10,10,21.73173,1.442426,0.066374191102135,0.0742518,0.0357269,0.4811587059168935,0.050102999999999995,0.0363231,0.7249685647566014,3.6160339999999996e-14,3.2448459999999996e-14,ok
case14,22,146,10,10,14.48902,1.3623189999999998,0.0940242335230402,0.0509765,0.0318477,0.6247525820721312,0.041908299999999996,0.026830399999999997,0.6402168544178599,3.7734599999999994e-16,2.91364e-16,ok
case141,280,1672,10,10,20.85696,1.5246330000000001,0.07309948333793612,0.0878714,0.0605064,0.6885789915717742,0.0593542,0.0532106,0.8964925818223478,3.8741070000000004e-11,6.979111e-11,ok
case145,239,2489,10,10,21.373060000000002,1.678237,0.0785211382927854,0.1173929,0.077971,0.664188379365362,0.0688199,0.0681597,0.9904068445318869,4.352886e-15,3.993204999999999e-15,ok
case15da,28,160,10,10,17.7641,1.3430149999999998,0.07560276062395505,0.05869220000000001,0.032978799999999996,0.561894084733576,0.043735,0.0270679,0.6189070538470332,7.47088e-15,7.73458e-15,ok
case15nbr,28,160,10,10,19.12811,1.3426420000000001,0.07019208902500039,0.0610362,0.033369499999999996,0.5467165387098147,0.043947200000000006,0.0272421,0.619882495358066,5.78821e-15,4.48804e-15,ok
case16am,28,160,10,10,14.77601,1.345973,0.09109177646739547,0.054100499999999996,0.0319448,0.5904714374173992,0.0414326,0.0272812,0.65844769577579,1.387328e-15,1.19687e-15,ok
case16ci,26,132,10,10,14.369229999999998,1.342703,0.09344293326782299,0.0484807,0.024976,0.5151740795821843,0.037074499999999996,0.021087500000000002,0.5687871717757489,1.5974499999999998e-15,1.05186e-15,ok
case17me,32,184,10,10,18.49439,1.340132,0.07246154104028303,0.05876,0.0348011,0.5922583390061267,0.0444322,0.0285505,0.6425632761825883,2.09527e-14,1.2028799999999999e-14,ok
case18,34,196,10,10,18.85649,1.344646,0.07130945366820654,0.0574777,0.037425,0.6511220873486587,0.0452868,0.032951799999999996,0.727624826660307,1.07249e-15,8.97797e-16,ok
