case,backend,repeat,inner_repeat,cudss_matching,cudss_mt,cudss_threading_lib,cudss_host_nthreads,status,n,nnz,read_ms,upload_ms,setup_ms,set_ms,analyze_ms,factorize_ms,solve_ms,download_check_ms,residual_l2,relative_residual_l2,residual_inf,error
case10ba,cudss,1,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.131567,214.979,13.1913,,23.0295,0.055203,0.043682,0.009388,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,1,5,,,,,ok,18,100,0.120766,135.046,,0.000691,1.32076,0.038312,0.029906,0.009237,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,2,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.130555,138.305,12.9723,,14.2452,0.052829,0.045575,0.009458,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,2,5,,,,,ok,18,100,0.121648,130.243,,0.000571,1.3375,0.047098,0.029174,0.008987,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,3,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.129773,133.183,12.7825,,25.7762,0.049142,0.041658,0.009528,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,3,5,,,,,ok,18,100,0.119404,146.1,,0.000581,1.34106,0.036058,0.027141,0.008806,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,4,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.127969,123.66,12.8696,,13.5878,0.049051,0.040636,0.008997,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,4,5,,,,,ok,18,100,0.118412,130.246,,0.000721,1.30844,0.035526,0.027311,0.008696,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,5,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.135213,123.948,12.859,,13.605,0.049162,0.041848,0.009308,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,5,5,,,,,ok,18,100,0.177662,131.526,,0.000381,1.32877,0.035556,0.02708,0.008996,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,6,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.129913,127.026,12.6466,,14.4737,0.048832,0.039534,0.008807,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,6,5,,,,,ok,18,100,0.120205,125.86,,0.000762,1.29028,0.035727,0.02673,0.008526,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,7,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.129723,124.354,13.2369,,24.9729,0.048912,0.039765,0.009648,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,7,5,,,,,ok,18,100,0.117911,128.744,,0.000611,1.31502,0.035747,0.02675,0.008777,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,8,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.128631,131.35,12.6383,,13.5559,0.049082,0.042289,0.009297,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,8,5,,,,,ok,18,100,0.127428,128.987,,0.000771,1.34175,0.035246,0.026509,0.008606,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,9,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.133169,125.688,12.7289,,13.5788,0.048521,0.041107,0.009388,2.5844e-16,5.0096e-15,1.52656e-16,
case10ba,custom,9,5,,,,,ok,18,100,0.134141,123.269,,0.000702,1.35776,0.035827,0.02678,0.008526,2.39645e-16,4.64526e-15,2.01228e-16,
case10ba,cudss,10,5,1,1,/root/.local/lib/python3.10/site-packages/nvidia/cu12/lib/libcudss_mtlayer_gomp.so.0,12,ok,18,100,0.129202,123.514,12.8568,,13.5981,0.048741,0.039043,0.009318,2.5844e-16,5.0096e-15,1.52656e-16,
