case,backend,n,nnz,runs,ok_runs,read_ms_mean,upload_ms_mean,setup_ms_mean,set_ms_mean,analyze_ms_mean,factorize_ms_mean,solve_ms_mean,download_check_ms_mean,relative_residual_l2_mean,residual_inf_mean,read_ms_median,upload_ms_median,setup_ms_median,set_ms_median,analyze_ms_median,factorize_ms_median,solve_ms_median,download_check_ms_median,relative_residual_l2_median,residual_inf_median,read_ms_min,upload_ms_min,setup_ms_min,set_ms_min,analyze_ms_min,factorize_ms_min,solve_ms_min,download_check_ms_min,relative_residual_l2_min,residual_inf_min,read_ms_max,upload_ms_max,setup_ms_max,set_ms_max,analyze_ms_max,factorize_ms_max,solve_ms_max,download_check_ms_max,relative_residual_l2_max,residual_inf_max,first_error
case10ba,cudss,18,100,10,10,0.1305715,136.60070000000002,12.878219999999999,,17.04231,0.0499475,0.0415137,0.0093137,5.0096e-15,1.52656e-16,0.129843,126.357,12.8579,,13.9251,0.0490665,0.0413825,0.009353,5.0096e-15,1.52656e-16,0.127969,123.514,12.6383,,13.5559,0.048521,0.039043,0.008807,5.0096e-15,1.52656e-16,0.135213,214.979,13.2369,,25.7762,0.055203,0.045575,0.009648,5.0096e-15,1.52656e-16,
case10ba,custom,18,100,10,10,0.1274827,131.2297,,0.0006571999999999999,1.332828,0.0370563,0.0274602,0.008812400000000001,4.64526e-15,2.01228e-16,0.1204855,130.24450000000002,,0.0006965000000000001,1.333135,0.035737000000000005,0.0271105,0.0087915,4.64526e-15,2.01228e-16,0.11725,123.269,,0.000381,1.29028,0.035246,0.026509,0.008526,4.64526e-15,2.01228e-16,0.177662,146.1,,0.000781,1.38694,0.047098,0.029906,0.009237,4.64526e-15,2.01228e-16,
case118,cudss,181,1051,10,10,0.6399935,126.3278,12.75937,,14.05246,0.0802334,0.0587188,0.012236,5.064972e-16,6.93889e-18,0.6402995,124.458,12.64615,,14.071950000000001,0.0797745,0.0586445,0.0119775,4.95259e-16,6.93889e-18,0.629298,123.104,12.5297,,13.9692,0.079188,0.058429,0.011381,4.9342e-16,6.93889e-18,0.64608,132.922,13.3226,,14.1153,0.084869,0.059451,0.014317,5.53555e-16,6.93889e-18,
case118,custom,181,1051,10,10,0.7542882000000001,125.7201,,0.0006945,1.546277,0.0560261,0.0528376,0.0113603,5.06566e-16,5.6243e-18,0.655443,124.59700000000001,,0.0006215000000000001,1.551605,0.056005,0.052712999999999996,0.0114265,5.06566e-16,5.6243e-18,0.622726,122.585,,0.000491,1.51557,0.055575,0.052318,0.01093,5.06566e-16,5.6243e-18,1.01164,133.541,,0.001313,1.5773,0.056636,0.054281,0.011682,5.06566e-16,5.6243e-18,
case118zh,cudss,234,1380,10,10,0.8165212000000001,127.8297,12.893709999999999,,20.49437,0.08031239999999999,0.05476760000000001,0.0139703,1.9056329999999998e-14,2.1762079999999998e-16,0.8158575,126.69550000000001,12.8804,,14.53465,0.0804305,0.054798,0.014192,1.90407e-14,2.10335e-16,0.809025,122.229,12.5826,,13.9782,0.076594,0.052669,0.011481,1.76802e-14,2.02095e-16,0.822781,135.287,13.4885,,45.033,0.087213,0.057738,0.017903,2.17168e-14,2.42861e-16,
case118zh,custom,234,1380,10,10,0.9680915000000001,129.91199999999998,,0.0008655,1.50184,0.0411031,0.042633899999999995,0.011593599999999999,3.206025e-14,4.888450999999999e-16,0.8109139999999999,128.77800000000002,,0.0007565,1.46569,0.040506,0.041964,0.011425999999999999,3.114885e-14,4.51028e-16,0.798055,123.767,,0.000591,1.44635,0.038853,0.040025,0.010991,2.98497e-14,4.23273e-16,1.39718,138.438,,0.001222,1.88357,0.046938,0.04815,0.014177,3.7005e-14,6.81746e-16,
case1197,cudss,2392,14344,10,10,7.80227,131.36759999999998,12.95772,,28.451909999999998,0.1377961,0.0952645,0.050524599999999996,1.720894e-13,5.366803e-18,7.793545,131.8045,12.780249999999999,,16.95825,0.135859,0.09450700000000001,0.0504395,1.71327e-13,5.53113e-18,7.75256,124.412,12.6666,,16.3819,0.130835,0.09115,0.047199,1.62921e-13,3.99122e-18,7.85568,137.266,13.8735,,75.5591,0.14975,0.102482,0.055404,1.82834e-13,5.86824e-18,
case1197,custom,2392,14344,10,10,7.831816999999999,130.2673,,0.0006602,3.3883,0.1014971,0.08484810000000001,0.0300674,3.2000099999999997e-13,1.0641495999999999e-17,7.7737549999999995,128.817,,0.000656,3.384335,0.100548,0.0841175,0.030421999999999998,3.242665e-13,1.0591099999999999e-17,7.73168,123.928,,0.000541,3.33005,0.097132,0.081032,0.029194,2.87928e-13,8.66938e-18,8.13998,140.266,,0.000791,3.43354,0.110217,0.092283,0.030708,3.54774e-13,1.28131e-17,
case12da,cudss,22,124,10,10,0.14415519999999998,130.2863,12.980340000000002,,13.755170000000001,0.0546102,0.0432209,0.0095057,2.00907e-14,9.714449999999999e-17,0.141851,125.417,12.73175,,13.656949999999998,0.0537005,0.043456499999999995,0.009292499999999999,2.00907e-14,9.71445e-17,0.139411,123.069,12.6196,,13.5652,0.053219,0.041047,0.008877,2.00907e-14,9.71445e-17,0.160591,158.665,14.3133,,14.6741,0.060162,0.045616,0.01099,2.00907e-14,9.71445e-17,
case12da,custom,22,124,10,10,0.1614554,129.7338,,0.0007513999999999999,1.337688,0.037839899999999996,0.0327205,0.0090941,2.65895e-14,1.5439e-16,0.160621,129.2135,,0.000686,1.343865,0.0375455,0.032425999999999996,0.008906500000000001,2.65895e-14,1.5439e-16,0.129111,124.339,,0.000581,1.30157,0.036769,0.03193,0.008646,2.65895e-14,1.5439e-16,0.197681,139.207,,0.001202,1.35882,0.041238,0.035857,0.010741,2.65895e-14,1.5439e-16,
case1354pegase,cudss,2447,15803,10,10,8.673827,127.7891,12.79121,,28.121969999999997,0.22992479999999998,0.1378132,0.0588914,7.287583e-15,2.572734e-15,8.657805,127.125,12.725549999999998,,17.52815,0.229555,0.1372775,0.0580435,7.28857e-15,2.4413999999999998e-15,8.60689,122.528,12.6735,,17.0745,0.223388,0.134311,0.057057,6.45356e-15,2.13718e-15,8.81514,135.001,12.9839,,76.271,0.24556,0.146715,0.064251,7.9435e-15,3.94628e-15,
case1354pegase,custom,2447,15803,10,10,8.972739,129.3188,,0.0022334,4.918598,0.1744688,0.1292972,0.0411121,6.0342249999999996e-15,2.01868e-15,8.657185,128.769,,0.0025399999999999997,4.92648,0.17206749999999998,0.12738349999999998,0.039965,6.0506249999999996e-15,2.0706899999999997e-15,8.56137,124.555,,0.000691,4.81728,0.167935,0.124624,0.038743,5.51845e-15,1.4413e-15,11.6014,139.046,,0.002766,4.98827,0.194174,0.143198,0.051216,6.59759e-15,3.00657e-15,
case13659pegase,cudss,23225,174703,10,10,94.66435,135.04059999999998,13.32199,,48.15462,1.164628,0.4350278,0.538767,2.712552e-13,3.3260930000000005e-12,94.66735,135.439,13.3047,,43.39025,1.176905,0.4398335,0.5390345000000001,2.70337e-13,2.94493e-12,93.645,128.29,12.9495,,42.4158,1.10369,0.414967,0.518551,2.62492e-13,2.49191e-12,95.5498,139.54,13.8653,,90.1677,1.18117,0.440746,0.547676,2.78753e-13,4.87893e-12,
case13659pegase,custom,23225,174703,10,10,93.93869,137.058,,0.0008026,42.30022,0.8300288,0.3963511,0.3719956,2.613411e-13,4.3826030000000004e-12,93.93065,136.5265,,0.000791,42.3537,0.843901,0.3961015,0.3712705,2.5897649999999997e-13,4.504315e-12,92.5119,130.067,,0.000652,41.6799,0.767708,0.369622,0.351528,2.50942e-13,3.34222e-12,96.106,143.798,,0.001072,42.7069,0.907871,0.421359,0.397374,2.74534e-13,5.46618e-12,
case136ma,cudss,270,1556,10,10,0.9258633,129.668,13.042930000000002,,21.73173,0.0742518,0.050102999999999995,0.015173500000000001,3.6160339999999996e-14,3.074366e-16,0.9197275,128.022,13.12845,,14.15925,0.071574,0.048596,0.015203999999999999,3.431875e-14,2.84495e-16,0.911087,123.031,12.6254,,13.9897,0.070702,0.04817,0.014407,3.32633e-14,2.54571e-16,0.981809,138.048,13.4276,,52.6589,0.081302,0.053611,0.01608,4.14731e-14,4.29127e-16,
case136ma,custom,270,1556,10,10,1.031908,128.70499999999998,,0.000615,1.442426,0.0357269,0.0363231,0.0117812,3.2448459999999996e-14,3.003672e-16,0.9150995,128.078,,0.000586,1.4346,0.034920999999999994,0.0354715,0.011707,3.197715e-14,3.00107e-16,0.898433,124.252,,0.000491,1.41495,0.034475,0.035056,0.011462,3.19595e-14,3.00107e-16,1.41759,135.178,,0.000741,1.47731,0.039003,0.039985,0.012534,3.6721e-14,3.02709e-16,
case14,cudss,22,146,10,10,0.1500702,126.84459999999999,12.77601,,14.48902,0.0509765,0.041908299999999996,0.0093886,3.7734599999999994e-16,1.35525e-20,0.15001599999999998,127.32900000000001,12.66865,,13.737,0.05065,0.042063500000000004,0.009127,3.77346e-16,1.35525e-20,0.143789,123.442,12.5575,,13.6192,0.050033,0.040325,0.008766,3.77346e-16,1.35525e-20,0.153778,129.916,13.2735,,21.3876,0.052739,0.04285,0.011722,3.77346e-16,1.35525e-20,
case14,custom,22,146,10,10,0.1599224,128.9801,,0.0007574,1.3623189999999998,0.0318477,0.026830399999999997,0.009098100000000001,2.91364e-16,1.35525e-20,0.1443955,127.89250000000001,,0.000671,1.3455249999999999,0.031875,0.026705,0.009097000000000001,2.91364e-16,1.35525e-20,0.13906,123.985,,0.000521,1.33058,0.031449,0.02658,0.008867,2.91364e-16,1.35525e-20,0.227766,133.333,,0.001233,1.4954,0.03239,0.027512,0.009338,2.91364e-16,1.35525e-20,
case141,cudss,280,1672,10,10,0.9710289,126.23530000000001,12.84982,,20.85696,0.0878714,0.0593542,0.0156793,3.8741070000000004e-11,6.48463e-13,0.97146,125.34299999999999,12.79805,,14.22405,0.0869975,0.059306,0.015779500000000002,3.743255e-11,6.48463e-13,0.9613,123.076,12.5716,,14.1691,0.086603,0.05888,0.014758,1.97832e-11,3.59211e-13,0.979455,129.892,13.452,,52.5142,0.094757,0.060323,0.016491,5.94748e-11,9.37715e-13,
case141,custom,280,1672,10,10,1.0483777,126.67750000000001,,0.0006230000000000001,1.5246330000000001,0.0605064,0.0532106,0.0123103,6.979111e-11,1.26871e-12,0.965078,125.477,,0.000621,1.525865,0.060483999999999996,0.0531745,0.0122735,7.003015e-11,1.26871e-12,0.961221,122.21,,0.000511,1.48312,0.060113,0.053049,0.011822,6.94314e-11,1.26871e-12,1.75813,133.985,,0.000721,1.57439,0.061225,0.0534,0.013155,7.00313e-11,1.26871e-12,
case145,cudss,239,2489,10,10,1.350152,127.0633,12.71629,,21.373060000000002,0.1173929,0.0688199,0.015975,4.352886e-15,2.182933e-16,1.3507449999999999,127.673,12.718599999999999,,14.2935,0.117315,0.068839,0.0157545,4.453385e-15,1.996015e-16,1.33006,122.293,12.539,,14.222,0.116979,0.068077,0.015238,3.19308e-15,1.43372e-16,1.36619,131.218,12.913,,55.8053,0.117781,0.06918,0.018304,5.08558e-15,3.20748e-16,
case145,custom,239,2489,10,10,1.460372,126.19000000000001,,0.0010678999999999999,1.678237,0.077971,0.0681597,0.0123911,3.993204999999999e-15,1.6385e-16,1.3401100000000001,124.674,,0.0007465,1.67578,0.077986,0.06798799999999999,0.012308,4.0804e-15,1.6385e-16,1.32616,122.925,,0.000471,1.63985,0.077165,0.067687,0.011962,3.8619e-15,1.6385e-16,1.85661,133.944,,0.002444,1.74947,0.078747,0.069961,0.013124,4.08107e-15,1.6385e-16,
case15da,cudss,28,160,10,10,0.1656892,126.4795,12.835730000000002,,17.7641,0.05869220000000001,0.043735,0.0095849,7.47088e-15,9.714449999999999e-17,0.16198800000000002,124.8315,12.736799999999999,,13.81565,0.0587255,0.043396500000000005,0.0095075,7.47088e-15,9.71445e-17,0.158296,124.033,12.5905,,13.6619,0.057408,0.041969,0.009047,7.47088e-15,9.71445e-17,0.1758,136.254,13.408,,31.2578,0.060754,0.050244,0.01054,7.47088e-15,9.71445e-17,
case15da,custom,28,160,10,10,0.16357470000000002,128.8918,,0.0007204000000000001,1.3430149999999998,0.032978799999999996,0.0270679,0.0088587,7.73458e-15,1.38778e-16,0.14987099999999998,129.04649999999998,,0.0006715,1.33815,0.032671,0.026876,0.0088815,7.73458e-15,1.38778e-16,0.145503,123.773,,0.00038,1.31931,0.03236,0.02657,0.008566,7.73458e-15,1.38778e-16,0.219562,135.025,,0.001213,1.38295,0.034485,0.028143,0.009097,7.73458e-15,1.38778e-16,
case15nbr,cudss,28,160,10,10,0.1590418,126.79,13.006549999999999,,19.12811,0.0610362,0.043947200000000006,0.009756299999999999,5.78821e-15,4.33681e-19,0.156638,124.758,13.043,,13.73885,0.060438000000000006,0.0438115,0.009673,5.78821e-15,4.33681e-19,0.153007,123.876,12.6845,,13.651,0.058139,0.041958,0.008666,5.78821e-15,4.33681e-19,0.173014,136.943,13.7611,,31.8329,0.064711,0.046587,0.010871,5.78821e-15,4.33681e-19,
case15nbr,custom,28,160,10,10,0.1695686,128.74200000000002,,0.0007324,1.3426420000000001,0.033369499999999996,0.0272421,0.0088754,4.48804e-15,4.33681e-19,0.153287,128.96699999999998,,0.0006415,1.34717,0.033027,0.026764999999999997,0.008921499999999999,4.48804e-15,4.33681e-19,0.145272,124.402,,0.000511,1.30374,0.032381,0.02657,0.008445,4.48804e-15,4.33681e-19,0.280526,132.67,,0.001352,1.36946,0.036148,0.029095,0.009277,4.48804e-15,4.33681e-19,
case16am,cudss,28,160,10,10,0.1630262,127.5377,12.83057,,14.77601,0.054100499999999996,0.0414326,0.0094144,1.387328e-15,4.16334e-17,0.1599895,126.5565,12.7808,,13.7728,0.053430500000000006,0.041232000000000005,0.009377,1.32519e-15,4.16334e-17,0.157565,122.906,12.4801,,13.592,0.052047,0.038943,0.008836,1.32492e-15,4.16334e-17,0.1707,134.86,13.2825,,23.6886,0.05852,0.043702,0.010429,1.49106e-15,4.16334e-17,
case16am,custom,28,160,10,10,0.1655182,128.9647,,0.0006862,1.345973,0.0319448,0.0272812,0.008848400000000001,1.19687e-15,3.46945e-17,0.15046199999999998,128.022,,0.000621,1.34607,0.031523999999999996,0.0270855,0.008886,1.19687e-15,3.46945e-17,0.145292,123.652,,0.000581,1.31812,0.031229,0.02674,0.008416,1.19687e-15,3.46945e-17,0.228789,137.497,,0.001112,1.38376,0.034605,0.029445,0.009167,1.19687e-15,3.46945e-17,
case16ci,cudss,26,132,10,10,0.1465666,125.9195,12.709810000000001,,14.369229999999998,0.0484807,0.037074499999999996,0.0092213,1.5974499999999998e-15,2.77556e-17,0.145533,124.682,12.664,,13.694849999999999,0.047729,0.0371645,0.0092175,1.59745e-15,2.77556e-17,0.143449,123.345,12.5824,,13.5417,0.047489,0.035135,0.008846,1.58869e-15,2.77556e-17,0.152335,132.901,13.1932,,20.6113,0.051456,0.039484,0.009578,1.60621e-15,2.77556e-17,
case16ci,custom,26,132,10,10,0.1496593,126.0809,,0.0006602,1.342703,0.024976,0.021087500000000002,0.0089115,1.05186e-15,1.38778e-17,0.137247,125.2445,,0.000681,1.328345,0.0249915,0.021069499999999998,0.0088965,1.05186e-15,1.38778e-17,0.133019,124.012,,0.000481,1.29896,0.024076,0.020829,0.008566,1.05186e-15,1.38778e-17,0.196087,131.266,,0.000811,1.46345,0.025689,0.02165,0.009247,1.05186e-15,1.38778e-17,
case17me,cudss,32,184,10,10,0.1721994,127.64020000000001,12.97848,,18.49439,0.05876,0.0444322,0.0109364,2.09527e-14,9.36751e-17,0.17112549999999999,125.331,12.779150000000001,,14.35905,0.058409,0.0436865,0.011175999999999998,2.09527e-14,9.36751e-17,0.166312,123.069,12.6689,,13.6964,0.056736,0.041808,0.009157,2.09527e-14,9.36751e-17,0.179176,136.895,13.7694,,31.604,0.063428,0.050805,0.012523,2.09527e-14,9.36751e-17,
case17me,custom,32,184,10,10,0.1769795,128.60129999999998,,0.0006584,1.340132,0.0348011,0.0285505,0.0089027,1.2028799999999999e-14,6.1149e-17,0.1647285,127.464,,0.0006715,1.3415,0.034239,0.0279925,0.0089615,1.20288e-14,6.1149e-17,0.159298,123.778,,0.000481,1.30243,0.033302,0.027581,0.008516,1.20288e-14,6.1149e-17,0.258023,139.525,,0.000772,1.37267,0.037009,0.030888,0.009227,1.20288e-14,6.1149e-17,
case18,cudss,34,196,10,10,0.1924414,129.8163,12.86834,,18.85649,0.0574777,0.0452868,0.010145999999999999,1.07249e-15,4.30211e-16,0.18239650000000002,130.46050000000002,12.853000000000002,,13.816600000000001,0.057217000000000004,0.044754,0.010068500000000001,1.07249e-15,4.30211e-16,0.175679,124.273,12.5183,,13.5936,0.056757,0.043621,0.009007,1.07249e-15,4.30211e-16,0.284573,134.367,13.3256,,31.5,0.060093,0.047759,0.011562,1.07249e-15,4.30211e-16,
case18,custom,34,196,10,10,0.20749469999999998,128.3092,,0.0006483,1.344646,0.037425,0.032951799999999996,0.0092333,8.97797e-16,3.8857799999999996e-16,0.190948,128.5755,,0.0006360000000000001,1.342525,0.037195000000000006,0.0326315,0.0092575,8.97797e-16,3.88578e-16,0.170089,124.446,,0.000481,1.32259,0.036558,0.032,0.008917,8.97797e-16,3.88578e-16,0.263042,133.715,,0.000892,1.36604,0.039203,0.035336,0.009568,8.97797e-16,3.88578e-16,
