case_name,bus_count,size_bucket,default_selected
case118,118,100-199,1
case118zh,119,100-199,0
case136ma,137,100-199,0
case141,145,100-199,0
case145,145,100-199,0
case_ACTIVSg200,200,200-499,0
case300,300,200-499,1
case_ACTIVSg500,500,500-999,0
case533mt_hi,533,500-999,1
case533mt_lo,533,500-999,0
case1197,1197,1000-1999,0
case1354pegase,1354,1000-1999,1
case1888rte,1888,1000-1999,0
case1951rte,1951,1000-1999,0
case_ACTIVSg2000,2000,2000-3999,0
case2383wp,2383,2000-3999,0
case2736sp,2736,2000-3999,0
case2737sop,2737,2000-3999,0
case2746wop,2746,2000-3999,0
case2746wp,2746,2000-3999,0
case2848rte,2848,2000-3999,0
case2868rte,2868,2000-3999,0
case2869pegase,2869,2000-3999,1
case3012wp,3012,2000-3999,0
case3120sp,3120,2000-3999,0
case3375wp,3374,2000-3999,1
case6468rte,6468,4000-9999,1
case6470rte,6470,4000-9999,0
case6495rte,6495,4000-9999,0
case6515rte,6515,4000-9999,0
case8387pegase,8387,4000-9999,0
case9241pegase,9241,4000-9999,1
case_ACTIVSg10k,10000,10000-19999,0
case13659pegase,13659,10000-19999,1
case_ACTIVSg25k,25000,20000-49999,1
case_ACTIVSg70k,70000,50000+,1
case_SyntheticUSA,82000,50000+,0
